source_primary_key,source_primary_citation
ABRS_1981,"B. A. Barlow, H. T. Clifford, A. S. George, and A. K. A. McCusker. _Flora of Australia_. 1981.  url:  [http://www.environment.gov.au/biodiversity/abrs/online-resources/flora/main/](http://www.environment.gov.au/biodiversity/abrs/online-resources/flora/main/)."
Apgaua_2017,"D. M. G. Apgaua, D. Y. P. Tng, L. A. Cernusak, A. W. Cheesman, R. M. Santos, W. J. Edwards, and S. G. W. Laurance. “Plant functional groups within a tropical forest exhibit different wood functional anatomy”.   _Functional Ecology_ 31.3 (2017), pp. 582-591.  doi:  [10.1111/1365-2435.12787](https://doi.org/10.1111%2F1365-2435.12787)."
Bloomfield_2018,"K. J. Bloomfield, L. A. Cernusak, D. Eamus, D. S. Ellsworth, I. C. Prentice, I. J. Wright, M. M. Boer, M. G. Bradford, P. Cale, J. Cleverly, J. J. G. Egerton, B. J. Evans, L. S. Hayes, M. F. Hutchinson, M. J. Liddell, C. Macfarlane, W. S. Meyer, S. M. Prober, H. F. Togashi, T. Wardlaw, L. Zhu, and O. K. Atkin. “A continental-scale assessment of variability in leaf traits: Within species, across sites and between seasons”.   _Functional Ecology_ 32.6 (2018), pp. 1492-1506.  doi:  [10.1111/1365-2435.13097](https://doi.org/10.1111%2F1365-2435.13097)."
Buckton_2019,"G. Buckton, A. W. Cheesman, N. C. Munksgaard, C. M. Wurster, M. J. Liddell, and L. A. Cernusak. “Functional traits of lianas in an Australian lowland rainforest align with post-disturbance rather than dry season advantage”.   _Austral Ecology_ 44.6 (2019), pp. 983-994.  doi:  [10.1111/aec.12764](https://doi.org/10.1111%2Faec.12764)."
Cernusak_2006,"L. A. Cernusak, L. B. Hutley, J. Beringer, and N. J. Tapper. “Stem and leaf gas exchange and their responses to fire in a north Australian tropical savanna”.   _Plant, Cell and Environment_ 29.4 (2006), pp. 632-646.  doi:  [10.1111/j.1365-3040.2005.01442.x](https://doi.org/10.1111%2Fj.1365-3040.2005.01442.x)."
Choat_2006,"B. Choat, M. C. Ball, J. G. Luly, C. F. Donnelly, and J. A. M. Holtum. “Seasonal patterns of leaf gas exchange and water relations in dry rain forest trees of contrasting leaf phenology”.   _Tree Physiology_ 26.5 (2006), pp. 657-664.  doi:  [10.1093/treephys/26.5.657](https://doi.org/10.1093%2Ftreephys%2F26.5.657)."
Choat_2012,"B. Choat, S. Jansen, T. J. Brodribb, H. Cochard, S. Delzon, R. Bhaskar, S. J. Bucci, T. S. Feild, S. M. Gleason, U. G. Hacke, A. L. Jacobsen, F. Lens, H. Maherali, J. Martinez-Vilalta, S. Mayr, M. Mencuccini, P. J. Mitchell, A. Nardini, J. Pittermann, R. B. Pratt, J. S. Sperry, M. Westoby, I. J. Wright, and A. E. Zanne. “Global convergence in the vulnerability of forests to drought”.   _Nature_ 491.7426 (2012), pp. 752-755.  doi:  [10.1038/nature11688](https://doi.org/10.1038%2Fnature11688)."
Crous_2013,"K. Y. Crous, A. G. Quentin, Y. Lin, B. E. Medlyn, D. G. Williams, C. V. M. Barton, and D. S. Ellsworth. “Photosynthesis of temperate Eucalyptus globulus trees outside their native range has limited adjustment to elevated CO2 and climate warming”.   _Global Change Biology_ 19.12 (2013), pp. 3790-3807.  doi:  [10.1111/gcb.12314](https://doi.org/10.1111%2Fgcb.12314)."
Crous_2019,"K. Y. Crous, A. Wujeska-Klause, M. Jiang, B. E. Medlyn, and D. S. Ellsworth. “Nitrogen and phosphorus retranslocation of leaves and stemwood in a mature Eucalyptus forest exposed to 5 years of elevated CO2”.   _Frontiers in Plant Science_ 10 (2019), p. art664.  doi:  [10.3389/fpls.2019.00664](https://doi.org/10.3389%2Ffpls.2019.00664)."
Falster_2003,"D. S. Falster and M. Westoby. “Leaf size and angle vary widely across species: what consequences for light interception?”.   _New Phytologist_ 158.3 (2003), pp. 509-525.  doi:  [10.1046/j.1469-8137.2003.00765.x](https://doi.org/10.1046%2Fj.1469-8137.2003.00765.x)."
Falster_2005_1,"D. S. Falster and M. Westoby. “Alternative height strategies among 45 dicot rain forest species from tropical Queensland, Australia”.   _Journal of Ecology_ 93 (2005), pp. 521-535.  doi:  [10.1111/j.0022-0477.2005.00992.x](https://doi.org/10.1111%2Fj.0022-0477.2005.00992.x)."
Falster_2005_2,"D. S. Falster and M. Westoby. “Tradeoffs between height growth rate, stem persistence and maximum height among plant species in a post-fire succession”.   _Oikos_ 111 (2005), pp. 57-66.  doi:  [10.1111/j.0030-1299.2005.13383.x](https://doi.org/10.1111%2Fj.0030-1299.2005.13383.x)."
Grigg_2008,"A. M. Grigg, E. J. Veneklaas, and H. Lambers. “Water relations and mineral nutrition of closely related woody plant species on desert dunes and interdunes”.   _Australian Journal of Botany_ 56.1 (2008), pp. 27-43.  doi:  [10.1071/bt06205](https://doi.org/10.1071%2Fbt06205)."
Kew_2019_2,Royal Botanic Gardens Kew. _Seed Information Database (SID) and Seed Bank Database_. 2019.  url:  [http://data.kew.org/sid/](http://data.kew.org/sid/).
Kooyman_2011,"R. Kooyman, M. Rossetto, W. Cornwell, and M. Westoby. “Phylogenetic tests of community assembly across regional to continental scales in tropical and subtropical rain forests”.   _Global Ecology and Biogeography_ 20 (2011), pp. 707-716.  doi:  [10.1111/j.1466-8238.2010.00641.x](https://doi.org/10.1111%2Fj.1466-8238.2010.00641.x)."
Leigh_2003,"A. Leigh and A. B. Nicotra. “Sexual dimorphism in reproductive allocation and water use efficiency in Maireana pyramidata (Chenopodiaceae), a dioecious, semi-arid shrub”.   _Australian Journal of Botany_ 51.5 (2003), pp. 509-514.  doi:  [10.1071/bt03043](https://doi.org/10.1071%2Fbt03043)."
Prior_2003,"L. D. Prior, D. Eamus, and D. M. J. S. Bowman. “Leaf attributes in the seasonally dry tropics: A comparison of four habitats in northern Australia”.   _Functional Ecology_ 17 (2003), pp. 504-515.  doi:  [10.1046/j.1365-2435.2003.00761.x](https://doi.org/10.1046%2Fj.1365-2435.2003.00761.x)."
Prior_2016,"L. D. Prior, G. J. Williamson, and D. M. J. S. Bowman. “Impact of high-severity fire in a Tasmainian dry eucalypt forest”.   _Australian Journal of Botany_ 64 (2016), pp. 193-205.  doi:  [10.1071/BT15259](https://doi.org/10.1071%2FBT15259)."
Roderick_1999,"M. L. Roderick, S. L. Berry, and I. R. Noble. “The relationship between leaf composition and morphology at elevated CO2 concentrations”.   _New Phytologist_ 143.1 (1999), pp. 63-72.  doi:  [10.1046/j.1469-8137.1999.00438.x](https://doi.org/10.1046%2Fj.1469-8137.1999.00438.x)."
Vesk_2019,"P. A. Vesk and J. D. L. Yen. “Plant resprouting: How many sprouts and how deep? Flexible modelling of multispecies experimental disturbances.”.   _Perspectives in Plant Ecology, Evolution and Systematics_ 41 (2019), p. 125497.  doi:  [10.1016/j.ppees.2019.125497](https://doi.org/10.1016%2Fj.ppees.2019.125497)."
Gleason_2012,"S. M. Gleason, D. W. Butler, K. Zieminska, P. Waryszak, and M. Westoby. “Stem xylem conductivity is key to plant water balance across Australian angiosperm species”.   _Functional Ecology_ 26 (2012), pp. 343-352.  doi:  [10.1111/j.1365-2435.2012.01962.x](https://doi.org/10.1111%2Fj.1365-2435.2012.01962.x)."
Wright_2019,"I. J. Wright, J. Cooke, L. A. Cernusak, L. B. Hutley, M. C. Scalon, W. C. Tozer, and C. E. R. Lehmann. “Stem diameter growth rates in a fire-prone savanna correlate with photosynthetic rate and branch-scale biomass allocation, but not specific leaf area”.   _Austral Ecology_ 44.2 (2018), pp. 339-350.  doi:  [10.1111/aec.12678](https://doi.org/10.1111%2Faec.12678)."
Yang_2023,"S. Yang. “Unpublished data: Fire response traits scored from national and state floras and the taxonomic literature, University of New South Wales”. 2023."
