Entity,trait,structure_measured,trait_groupings,trait_group_for_portal,core_trait,keywords
https://w3id.org/APD/traits/trait_0012611,diaspore_dry_mass,reproductive shoot system; seed,seed morphology trait,seed morphology,NA,dispersal; reproduction; seed dispersal
https://w3id.org/APD/traits/trait_0012612,seed_dry_mass_reserve,reproductive shoot system; seed,seed morphology trait,seed morphology,NA,energy; plant embryo; endosperm; reproduction; seedling; storage organ
https://w3id.org/APD/traits/trait_0012613,seed_length,reproductive shoot system; seed,seed morphology trait,seed morphology,core_trait,reproduction
https://w3id.org/APD/traits/trait_0012614,seed_width,reproductive shoot system; seed,seed morphology trait,seed morphology,core_trait,reproduction
https://w3id.org/APD/traits/trait_0012615,seed_height,reproductive shoot system; seed,seed morphology trait,seed morphology,NA,reproduction
https://w3id.org/APD/traits/trait_0012616,seed_volume,reproductive shoot system; seed,seed morphology trait,seed morphology,NA,reproduction
https://w3id.org/APD/traits/trait_0012617,seed_count,reproductive shoot system; seed,seed morphology trait,seed morphology,NA,reproduction
https://w3id.org/APD/traits/trait_0012618,seed_shape,reproductive shoot system; seed,seed morphology trait,seed morphology,core_trait,reproduction
https://w3id.org/APD/traits/trait_0012619,seed_surface_hairs,reproductive shoot system; seed,seed morphology trait,seed morphology,NA,trichome; vestiture; reproduction
https://w3id.org/APD/traits/trait_0012620,seed_surface_texture,reproductive shoot system; seed,seed morphology trait,seed morphology,NA,reproduction
https://w3id.org/APD/traits/trait_0012621,seed_surface_reflectivity,reproductive shoot system; seed,seed morphology trait,seed morphology,NA,reproduction
https://w3id.org/APD/traits/trait_0012622,diaspore_fleshiness,reproductive shoot system; seed; fruit,seed morphology trait; fruit morphology trait,seed morphology,NA,fleshy; dispersal; seed dispersal; reproduction
https://w3id.org/APD/traits/trait_0012623,dispersal_appendage,reproductive shoot system; seed; fruit,seed morphology trait; fruit morphology trait; interspecific interactions trait,seed morphology,NA,"seed dispersal; dispersal; reproduction; biological process involved in symbiotic interaction, symbiosis; appendage"
https://w3id.org/APD/traits/trait_0012624,dispersal_unit,reproductive shoot system; seed; fruit,seed morphology trait; fruit morphology trait,seed morphology,core_trait,seed dispersal; dispersal; reproduction; spore
https://w3id.org/APD/traits/trait_0013011,leaf_secondary_vein_angle,leaf,"leaf vein morphology trait; water transport trait, hydraulic trait; leaf morphology trait",leaf morphology,NA,primary leaf vein; secondary leaf vein; leaf lamina; leaf lamina vein; water transport
https://w3id.org/APD/traits/trait_0013012,leaf_major_vein_density,leaf,"leaf vein morphology trait; water transport trait, hydraulic trait; leaf morphology trait",leaf morphology,NA,leaf lamina vein; primary leaf vein; secondary leaf vein; tertiary leaf vein; water transport
https://w3id.org/APD/traits/trait_0013013,leaf_total_vein_density,leaf,"leaf vein morphology trait; water transport trait, hydraulic trait; leaf morphology trait",leaf morphology,NA,leaf lamina vein; water transport
https://w3id.org/APD/traits/trait_0013014,leaf_vein_frequency,leaf,"leaf vein morphology trait; water transport trait, hydraulic trait; leaf morphology trait",leaf morphology,NA,leaf lamina vein; leaf lamina; water transport
https://w3id.org/APD/traits/trait_0013111,stem_vessel_density,stem,"xylem vessel morphology trait; water transport trait, hydraulic trait; stem morphology trait",stem morphology,core_trait,xylem vessel; cross section; water transport; sapwood
https://w3id.org/APD/traits/trait_0013112,leaf_vessel_density,leaf,"xylem vessel morphology trait; water transport trait, hydraulic trait; leaf morphology trait",leaf morphology,NA,xylem vessel; cross section; water transport
https://w3id.org/APD/traits/trait_0013113,stem_vessel_diameter,stem,"xylem vessel morphology trait; water transport trait, hydraulic trait; stem morphology trait",stem morphology,core_trait,xylem vessel; water transport; sapwood
https://w3id.org/APD/traits/trait_0013114,stem_vessel_diameter_hydraulic,stem,"xylem vessel morphology trait; water transport trait, hydraulic trait; stem morphology trait",stem morphology,NA,xylem vessel; hydraulic conductivity; water transport; sapwood; Hagen Poiseuille equation
https://w3id.org/APD/traits/trait_0013115,leaf_vessel_diameter,leaf,"xylem vessel morphology trait; water transport trait, hydraulic trait; leaf morphology trait",leaf morphology,NA,xylem vessel; hydraulic conductivity; water transport
https://w3id.org/APD/traits/trait_0013116,stem_vessel_lumen_fraction,stem,"xylem vessel morphology trait; water transport trait, hydraulic trait; stem morphology trait",stem morphology,core_trait,xylem vessel; plant anatomical space; lumen; vessel lumen; water transport; sapwood
https://w3id.org/APD/traits/trait_0013117,stem_vessel_multiple_fraction,stem,"xylem vessel morphology trait; water transport trait, hydraulic trait; stem morphology trait",stem morphology,NA,xylem vessel; water transport; sapwood
https://w3id.org/APD/traits/trait_0013118,stem_vessel_non_lumen_fraction,stem,"xylem vessel morphology trait; water transport trait, hydraulic trait; stem morphology trait",stem morphology,NA,xylem vessel; plant anatomical space; lumen; vessel lumen; water transport; sapwood; tracheids
https://w3id.org/APD/traits/trait_0013119,stem_vessel_wall_fraction,stem,"xylem vessel morphology trait; water transport trait, hydraulic trait; stem morphology trait",stem morphology,NA,xylem vessel; plant-type cell wall; water transport; sapwood
https://w3id.org/APD/traits/trait_0013120,stem_xylem_vulnerability_index,stem,"xylem vessel morphology trait; water transport trait, hydraulic trait; stem morphology trait",stem morphology,NA,xylem; water transport; sapwood
https://w3id.org/APD/traits/trait_0013161,wood_axial_parenchyma_fraction,stem,"vascular tissue morphology trait; water transport trait, hydraulic trait; stem morphology trait",stem morphology,NA,"sapwood; axial secondary xylem parenchyma; wood; wood, secondary xylem"
https://w3id.org/APD/traits/trait_0013162,wood_conduit_fraction,stem,"vascular tissue morphology trait; water transport trait, hydraulic trait; stem morphology trait",stem morphology,NA,"sapwood; tracheids; xylem; wood; water transport; wood, secondary xylem"
https://w3id.org/APD/traits/trait_0013163,wood_fibre_fraction,stem,"vascular tissue morphology trait; water transport trait, hydraulic trait; stem morphology trait",stem morphology,NA,"sapwood; plant fiber cell; wood; wood, secondary xylem"
https://w3id.org/APD/traits/trait_0013164,wood_ray_parenchyma_fraction,stem,"vascular tissue morphology trait; water transport trait, hydraulic trait; stem morphology trait",stem morphology,NA,"sapwood; ray secondary xylem parenchyma; wood; wood, secondary xylem"
https://w3id.org/APD/traits/trait_0013165,wood_tracheid_fraction,stem,"vascular tissue morphology trait; water transport trait, hydraulic trait; stem morphology trait",stem morphology,NA,"sapwood; tracheids; wood; water transport; wood, secondary xylem"
https://w3id.org/APD/traits/trait_0014011,leaf_work_to_punch,leaf,plant structure strength trait; leaf morphology trait,leaf morphology,NA,leaf lamina; strength; compressive strength; fracture; punch
https://w3id.org/APD/traits/trait_0014012,leaf_work_to_punch_adjusted,leaf,plant structure strength trait; leaf morphology trait,leaf morphology,NA,leaf lamina; strength; compressive strength; fracture; punch
https://w3id.org/APD/traits/trait_0014013,leaf_work_to_shear,leaf,plant structure strength trait; leaf morphology trait,leaf morphology,NA,leaf lamina; strength; compressive strength; shear
https://w3id.org/APD/traits/trait_0014014,leaf_work_to_shear_adjusted,leaf,plant structure strength trait; leaf morphology trait,leaf morphology,NA,leaf lamina; strength; compressive strength; shear
https://w3id.org/APD/traits/trait_0014015,leaf_work_to_tear,leaf,plant structure strength trait; leaf morphology trait,leaf morphology,NA,"leaf lamina; strength; tensile strength; rip, tear"
https://w3id.org/APD/traits/trait_0014016,leaf_work_to_tear_adjusted,leaf,plant structure strength trait; leaf morphology trait,leaf morphology,NA,"leaf lamina; strength; tensile strength; rip, tear"
https://w3id.org/APD/traits/trait_0014017,bark_modulus_of_elasticity,bark,plant structure strength trait; bark morphology trait,bark morphology,NA,elasticity; modulus of elasticity; deform
https://w3id.org/APD/traits/trait_0014018,stem_modulus_of_elasticity,stem,plant structure strength trait; stem morphology trait,stem morphology,NA,"elasticity; modulus of elasticity; deform; wood, secondary xylem"
https://w3id.org/APD/traits/trait_0014019,xylem_modulus_of_elasticity,stem,plant structure strength trait; stem morphology trait,stem morphology,NA,"elasticity; modulus of elasticity; deform; xylem; wood, secondary xylem"
https://w3id.org/APD/traits/trait_0014020,modulus_of_rupture,stem,plant structure strength trait; stem morphology trait,stem morphology,NA,"xylem; plant-type cell wall; water stress trait; wood, secondary xylem"
https://w3id.org/APD/traits/trait_0020221,photosynthetic_pathway,whole plant; leaf,photosynthetic trait,life history,core_trait,"Calvin cycle; C3 photosynthesis (reductive pentose-phosphate cycle); C4 photosynthesis; CAM photosynthesis; biochemical reaction; photosynthesis, dark reaction; photosynthesis"
https://w3id.org/APD/traits/trait_0020222,bark_photosynthetic_status,bark,photosynthetic rate trait,physiology,NA,photosynthetic rate; biochemical reaction
https://w3id.org/APD/traits/trait_0020240,leaf_photosynthetic_rate_per_area_ambient,leaf,photosynthetic rate trait,physiology,NA,photosynthetic rate; photosystem; photosynthetically active radiation; carbon dioxide; biochemical reaction; ambient photosynthetic rate
https://w3id.org/APD/traits/trait_0020241,leaf_photosynthetic_rate_per_area_maximum,leaf,photosynthetic rate trait,physiology,core_trait,"photosynthetic rate; photosystem; photosynthetically active radiation; carbon dioxide; biochemical reaction; maximum photosynthetic rate, Amax"
https://w3id.org/APD/traits/trait_0020242,leaf_photosynthetic_rate_per_area_saturated,leaf,photosynthetic rate trait,physiology,NA,"photosynthetic rate; photosystem; photosynthetically active radiation; carbon dioxide; biochemical reaction; saturated photosynthetic rate, Asat"
https://w3id.org/APD/traits/trait_0020243,leaf_photosynthetic_rate_per_dry_mass_ambient,leaf,photosynthetic rate trait,physiology,NA,photosynthetic rate; photosystem; photosynthetically active radiation; carbon dioxide; biochemical reaction; ambient photosynthetic rate
https://w3id.org/APD/traits/trait_0020244,leaf_photosynthetic_rate_per_dry_mass_maximum,leaf,photosynthetic rate trait,physiology,core_trait,"photosynthetic rate; photosystem; photosynthetically active radiation; carbon dioxide; biochemical reaction; maximum photosynthetic rate, Amax"
https://w3id.org/APD/traits/trait_0020245,leaf_photosynthetic_rate_per_dry_mass_saturated,leaf,photosynthetic rate trait,physiology,NA,"photosynthetic rate; photosystem; photosynthetically active radiation; carbon dioxide; biochemical reaction; saturated photosynthetic rate, Asat"
https://w3id.org/APD/traits/trait_0020310,leaf_intercellular_CO2_concentration_at_Amax,leaf,carbon dioxide concentration trait,physiology,NA,"intercellular space; carbon dioxide; maximum photosynthetic rate, Amax"
https://w3id.org/APD/traits/trait_0020311,leaf_intercellular_CO2_concentration_at_Asat,leaf,carbon dioxide concentration trait,physiology,NA,"intercellular space; carbon dioxide; saturated photosynthetic rate, Asat"
https://w3id.org/APD/traits/trait_0020312,leaf_intercellular_CO2_concentration_at_Aambient,leaf,carbon dioxide concentration trait,physiology,NA,intercellular space; carbon dioxide; ambient photosynthetic rate
https://w3id.org/APD/traits/trait_0020313,leaf_intercellular_CO2_concentration_to_atmospheric_CO2_concentration_ratio,leaf,carbon dioxide concentration trait,physiology,NA,intercellular space; carbon dioxide; cell; atmospheric carbon dioxide
https://w3id.org/APD/traits/trait_0020314,leaf_chloroplast_CO2_concentration,leaf,carbon dioxide concentration trait,physiology,NA,carbon dioxide; chloroplast; cell
https://w3id.org/APD/traits/trait_0020315,atmospheric_CO2_concentration,leaf,carbon dioxide concentration trait,physiology,NA,atmospheric carbon dioxide; carbon dioxide
https://w3id.org/APD/traits/trait_0020410,leaf_photosynthesis_Jmax_per_area,leaf,photosystem performance trait,physiology,NA,"carboxylation; photosynthesis; Models, Theoretical; biochemical reaction; carbon dioxide"
https://w3id.org/APD/traits/trait_0020411,leaf_photosynthesis_Jmax_per_area_25C,leaf,photosystem performance trait,physiology,NA,"carboxylation; photosynthesis; Models, Theoretical; biochemical reaction; carbon dioxide"
https://w3id.org/APD/traits/trait_0020412,leaf_photosynthesis_Jmax_per_mass,leaf,photosystem performance trait,physiology,NA,"carboxylation; photosynthesis; Models, Theoretical; biochemical reaction; carbon dioxide"
https://w3id.org/APD/traits/trait_0020413,leaf_photosynthesis_Vcmax_per_area,leaf,photosystem performance trait,physiology,NA,"carboxylation; photosynthesis; Models, Theoretical; biochemical reaction; photosynthesis, dark reaction; rubisco complex, ribulose bisphosphate carboxylase complex; carbon dioxide"
https://w3id.org/APD/traits/trait_0020414,leaf_photosynthesis_Vcmax_per_area_25C,leaf,photosystem performance trait,physiology,NA,"carboxylation; photosynthesis; Models, Theoretical; biochemical reaction; photosynthesis, dark reaction; rubisco complex, ribulose bisphosphate carboxylase complex; carbon dioxide"
https://w3id.org/APD/traits/trait_0020415,leaf_photosynthesis_Vcmax_per_mass,leaf,photosystem performance trait,physiology,NA,"carboxylation; photosynthesis; Models, Theoretical; biochemical reaction; photosynthesis, dark reaction; rubisco complex, ribulose bisphosphate carboxylase complex; carbon dioxide"
https://w3id.org/APD/traits/trait_0020416,leaf_photosynthesis_Jmax_over_Vcmax_25C,leaf,photosystem performance trait,physiology,NA,"carboxylation; photosynthesis; Models, Theoretical; biochemical reaction; photosynthesis, dark reaction; rubisco complex, ribulose bisphosphate carboxylase complex; carbon dioxide; electron transport chain"
https://w3id.org/APD/traits/trait_0020417,leaf_fluorescence_fv_over_fm,leaf,photosystem performance trait,physiology,NA,"quantum yield; chlorophyll fluorescence; biochemical reaction; photosystem II reaction center; photosynthesis, light reaction; electron transport chain"
https://w3id.org/APD/traits/trait_0020418,leaf_fluorescence_quantum_yield,leaf,photosystem performance trait,physiology,NA,"quantum yield; chlorophyll fluorescence; biochemical reaction; photosystem II reaction center; photosynthesis, light reaction; electron transport chain"
https://w3id.org/APD/traits/trait_0020419,leaf_gas_exchange_quantum_yield,leaf,photosystem performance trait,physiology,NA,"quantum yield; chlorophyll fluorescence; biochemical reaction; photosystem II reaction center; photosynthesis, light reaction; electron transport chain"
https://w3id.org/APD/traits/trait_0020510,leaf_dark_respiration_per_area,leaf,respiration rate trait,physiology,NA,cellular respiration; carbon dioxide; dark; biochemical reaction
https://w3id.org/APD/traits/trait_0020511,leaf_dark_respiration_per_dry_mass,leaf,respiration rate trait,physiology,NA,cellular respiration; carbon dioxide; dark; biochemical reaction
https://w3id.org/APD/traits/trait_0020512,leaf_light_respiration_per_area,leaf,respiration rate trait,physiology,NA,cellular respiration; carbon dioxide; biochemical reaction
https://w3id.org/APD/traits/trait_0020513,stem_dark_respiration_per_area,stem,respiration rate trait,physiology,NA,cellular respiration; carbon dioxide; dark; biochemical reaction
https://w3id.org/APD/traits/trait_0020610,leaf_stomatal_conductance_per_area_ambient,leaf,gas exchange trait,physiology,NA,stomatal conductance; water; stomata; stomatal pore; diffusion; ambient photosynthetic rate
https://w3id.org/APD/traits/trait_0020611,leaf_stomatal_conductance_per_area_at_Amax,leaf,gas exchange trait,physiology,core_trait,"stomatal conductance; water; stomata; stomatal pore; diffusion; maximum photosynthetic rate, Amax"
https://w3id.org/APD/traits/trait_0020612,leaf_stomatal_conductance_per_area_at_Asat,leaf,gas exchange trait,physiology,NA,"stomatal conductance; water; stomata; stomatal pore; diffusion; saturated photosynthetic rate, Asat"
https://w3id.org/APD/traits/trait_0020630,leaf_stomatal_resistance_ambient,leaf,gas exchange trait,physiology,NA,stomata; stomatal pore; atmospheric carbon dioxide; water; stomatal conductance; diffusion; ambient photosynthetic rate
https://w3id.org/APD/traits/trait_0020640,leaf_mesophyll_conductance_per_area,leaf,gas exchange trait,physiology,NA,carbon dioxide; intercellular space; chloroplast; diffusion; mesophyll; airway conductance
https://w3id.org/APD/traits/trait_0020641,leaf_mesophyll_conductance_per_mass,leaf,gas exchange trait,physiology,NA,carbon dioxide; intercellular space; chloroplast; diffusion; mesophyll; airway conductance
https://w3id.org/APD/traits/trait_0020660,leaf_transpiration_per_area_ambient,leaf,transpiration rate trait,physiology,NA,transpiration; water; stomata; stomatal pore; vapor; ambient photosynthetic rate
https://w3id.org/APD/traits/trait_0020661,leaf_transpiration_per_area_at_Amax,leaf,transpiration rate trait,physiology,NA,"transpiration; water; stomata; stomatal pore; vapor; maximum photosynthetic rate, Amax"
https://w3id.org/APD/traits/trait_0020662,leaf_transpiration_per_area_at_Asat,leaf,transpiration rate trait,physiology,NA,"transpiration; water; stomata; stomatal pore; vapor; saturated photosynthetic rate, Asat"
https://w3id.org/APD/traits/trait_0020663,leaf_dark_transpiration_per_area,leaf,transpiration rate trait,physiology,NA,transpiration; water; stomata; stomatal pore; vapor; dark
https://w3id.org/APD/traits/trait_0020664,integrated_plant_transpiration,whole plant; leaf,transpiration rate trait,physiology,NA,transpiration; water; stomata; stomatal pore; vapor
https://w3id.org/APD/traits/trait_0020665,whole_plant_sapflow,whole plant; leaf,transpiration rate trait,physiology,NA,transpiration; water; stomata; stomatal pore
https://w3id.org/APD/traits/trait_0020710,leaf_photosynthetic_nitrogen_use_efficiency_maximum,leaf,gas exchange trait; live leaf mineral and ion content trait,physiology,NA,"photosynthetic rate; nitrogen atom; biochemical reaction; maximum photosynthetic rate, Amax"
https://w3id.org/APD/traits/trait_0020711,leaf_photosynthetic_nitrogen_use_efficiency_saturated,leaf,gas exchange trait; live leaf mineral and ion content trait,physiology,NA,"photosynthetic rate; nitrogen atom; biochemical reaction; saturated photosynthetic rate, Asat"
https://w3id.org/APD/traits/trait_0020712,leaf_photosynthetic_phosphorus_use_efficiency_maximum,leaf,gas exchange trait; live leaf mineral and ion content trait,physiology,NA,"photosynthetic rate; phosphorus atom; biochemical reaction; maximum photosynthetic rate, Amax"
https://w3id.org/APD/traits/trait_0020713,leaf_photosynthetic_phosphorus_use_efficiency_saturated,leaf,gas exchange trait; live leaf mineral and ion content trait,physiology,NA,"photosynthetic rate; phosphorus atom; biochemical reaction; saturated photosynthetic rate, Asat"
https://w3id.org/APD/traits/trait_0020760,leaf_water_use_efficiency_integrated,leaf,gas exchange trait,physiology,NA,water use efficiency; water; transpiration; growth
https://w3id.org/APD/traits/trait_0020761,leaf_water_use_efficiency_intrinsic,leaf,gas exchange trait,physiology,NA,photosynthetic rate; water use efficiency; water; stomatal conductance
https://w3id.org/APD/traits/trait_0020762,leaf_water_use_efficiency_instantaneous,leaf,gas exchange trait,physiology,NA,photosynthetic rate; water use efficiency; water; transpiration
https://w3id.org/APD/traits/trait_0021013,stem_hydraulic_conductivity,stem,"water transport trait, hydraulic trait",physiology,NA,water transport; water; water potential; gradient; hydraulic conductivity; sapwood; water stress trait
https://w3id.org/APD/traits/trait_0021014,sapwood_specific_hydraulic_conductivity,stem,"water transport trait, hydraulic trait",physiology,NA,water transport; water; water potential; gradient; hydraulic conductivity; sapwood; water stress trait
https://w3id.org/APD/traits/trait_0021015,sapwood_specific_hydraulic_conductivity_theoretical,stem,"water transport trait, hydraulic trait",physiology,NA,"water transport; water; water potential; gradient; hydraulic conductivity; sapwood; water stress trait; Models, Theoretical; Hagen Poiseuille equation"
https://w3id.org/APD/traits/trait_0021016,stem_specific_hydraulic_conductivity,stem,"water transport trait, hydraulic trait",physiology,NA,water transport; water; water potential; gradient; hydraulic conductivity; sapwood; water stress trait
https://w3id.org/APD/traits/trait_0021017,leaf_specific_hydraulic_conductance,leaf; leaf,"water transport trait, hydraulic trait",physiology,NA,water transport; water; water potential; gradient; hydraulic conductivity; leaf water potential; water stress trait
https://w3id.org/APD/traits/trait_0021018,leaf_specific_hydraulic_conductivity,stem; leaf,"water transport trait, hydraulic trait",physiology,NA,water transport; water; water potential; gradient; hydraulic conductivity; leaf water potential; water stress trait
https://w3id.org/APD/traits/trait_0021021,root_hydraulic_conductivity,root,"water transport trait, hydraulic trait",physiology,NA,water transport; water; water potential; gradient; hydraulic conductivity; sapwood; water stress trait
https://w3id.org/APD/traits/trait_0021022,root_specific_hydraulic_conductivity,root,"water transport trait, hydraulic trait",physiology,NA,water transport; water; water potential; gradient; hydraulic conductivity; sapwood; water stress trait
https://w3id.org/APD/traits/trait_0021030,water_potential_predawn,stem; leaf,"water transport trait, hydraulic trait",physiology,NA,shoot system; water potential; soil water potential; leaf water potential; water stress trait; dawn
https://w3id.org/APD/traits/trait_0021031,water_potential_midday,stem; leaf,"water transport trait, hydraulic trait",physiology,NA,shoot system; water potential; leaf water potential; water stress trait; drought tolerance
https://w3id.org/APD/traits/trait_0021032,stem_sapwood_capacitance,whole plant; stem,"water transport trait, hydraulic trait",physiology,NA,water; turgor; water stress trait; turgor pressure; water holding capacity
https://w3id.org/APD/traits/trait_0021033,leaf_capacitance,leaf,"water transport trait, hydraulic trait",physiology,NA,water; turgor; water stress trait; turgor pressure; water holding capacity; pressure-volume curve
https://w3id.org/APD/traits/trait_0021034,root_sapwood_capacitance,root,"water transport trait, hydraulic trait",physiology,NA,water; turgor; water stress trait; turgor pressure; water holding capacity
https://w3id.org/APD/traits/trait_0021050,leaf_hydraulic_vulnerability,leaf; stem,"water transport trait, hydraulic trait",physiology,NA,water potential; xylem; hydraulic conductivity; leaf water potential; water stress trait; drought tolerance
https://w3id.org/APD/traits/trait_0021051,water_potential_12percent_lost_conductivity,stem; leaf,"water transport trait, hydraulic trait",physiology,NA,water potential; xylem; hydraulic conductivity; water stress trait; drought tolerance
https://w3id.org/APD/traits/trait_0021052,water_potential_50percent_lost_conductivity,stem; leaf,"water transport trait, hydraulic trait",physiology,NA,water potential; xylem; hydraulic conductivity; water stress trait; drought tolerance
https://w3id.org/APD/traits/trait_0021053,water_potential_88percent_lost_conductivity,stem; leaf,"water transport trait, hydraulic trait",physiology,NA,water potential; xylem; hydraulic conductivity; water stress trait; drought tolerance
https://w3id.org/APD/traits/trait_0021054,hydraulic_safety_margin_50,stem,"water transport trait, hydraulic trait",physiology,NA,water potential; xylem; hydraulic conductivity; water stress trait; drought tolerance
https://w3id.org/APD/traits/trait_0021055,hydraulic_safety_margin_88,stem,"water transport trait, hydraulic trait",physiology,NA,water potential; xylem; hydraulic conductivity; water stress trait; drought tolerance
https://w3id.org/APD/traits/trait_0021056,leaf_turgor_loss_point,leaf,"water transport trait, hydraulic trait",physiology,NA,water potential; turgor pressure; leaf water potential; water stress trait; pressure-volume curve; drought tolerance
https://w3id.org/APD/traits/trait_0021057,osmotic_potential,stem; leaf,"water transport trait, hydraulic trait",physiology,NA,potential energy; water; solute; osmotic pressure; turgor pressure; water stress trait; leaf water potential
https://w3id.org/APD/traits/trait_0021058,osmotic_potential_at_full_turgor,stem; leaf,"water transport trait, hydraulic trait",physiology,NA,potential energy; water; solute; osmotic pressure; turgor pressure; water stress trait; pressure-volume curve; leaf water potential; drought tolerance
https://w3id.org/APD/traits/trait_0021059,bulk_modulus_of_elasticity,stem; leaf,"water transport trait, hydraulic trait",physiology,NA,cell; turgor pressure; plant-type cell wall; water stress trait; pressure-volume curve; modulus of elasticity; drought tolerance
https://w3id.org/APD/traits/trait_0021060,leaf_relative_water_content_predawn,leaf,"water transport trait, hydraulic trait",physiology,NA,water; dawn; water stress trait; water holding capacity; leaf water content
https://w3id.org/APD/traits/trait_0021061,leaf_relative_water_content_at_turgor_loss_point,leaf,"water transport trait, hydraulic trait",physiology,NA,water; turgor; water stress trait; turgor pressure; water holding capacity; pressure-volume curve; drought tolerance; leaf water content
https://w3id.org/APD/traits/trait_0021062,root_water_potential_50percent_lost_conductivity,root,"water transport trait, hydraulic trait",physiology,NA,water potential; xylem; hydraulic conductivity; water stress trait; drought tolerance
https://w3id.org/APD/traits/trait_0021063,root_water_potential_12percent_lost_conductivity,root,"water transport trait, hydraulic trait",physiology,NA,water potential; xylem; hydraulic conductivity; water stress trait; drought tolerance
https://w3id.org/APD/traits/trait_0021064,root_water_potential_88percent_lost_conductivity,root,"water transport trait, hydraulic trait",physiology,NA,water potential; xylem; hydraulic conductivity; water stress trait; drought tolerance
https://w3id.org/APD/traits/trait_0021065,leaf_water_potential_12percent_lost_conductivity,leaf; stem,"water transport trait, hydraulic trait",physiology,NA,water potential; xylem; hydraulic conductivity; leaf water potential; water stress trait; drought tolerance
https://w3id.org/APD/traits/trait_0021066,leaf_water_potential_88percent_lost_conductivity,leaf; stem,"water transport trait, hydraulic trait",physiology,NA,water potential; xylem; hydraulic conductivity; leaf water potential; water stress trait; drought tolerance
https://w3id.org/APD/traits/trait_0020813,leaf_photochemical_reflectance_index,whole plant; leaf,photosystem performance trait; environmental tolerance trait,life history,NA,remote sensing; canopy; vegetation reflectance; radiation; photosynthetically active radiation; xanthophyll; Spectroradiometer; carotenoid
https://w3id.org/APD/traits/trait_0020814,leaf_water_band_index,whole plant; leaf,"water transport trait, hydraulic trait; environmental tolerance trait",life history,NA,remote sensing; canopy; vegetation reflectance; radiation; vegetation; Spectroradiometer; water
https://w3id.org/APD/traits/trait_0020815,modified_NDVI,whole plant; leaf,environmental tolerance trait,life history,NA,remote sensing; canopy; vegetation reflectance; radiation; vegetation; infrared radiation
https://w3id.org/APD/traits/trait_0020816,leaf_chlorophyll_index_modified_ND705,whole plant; leaf,environmental tolerance trait,life history,NA,remote sensing; canopy; vegetation reflectance; radiation; vegetation; infrared radiation; chlorophyll
https://w3id.org/APD/traits/trait_0030010,plant_growth_form,whole plant; stem; leaf,whole plant phenotype trait; whole plant morphology trait; stem morphology trait,life history,core_trait,"vegetative shoot system; wood, secondary xylem; growth; canopy"
https://w3id.org/APD/traits/trait_0030011,life_form,whole plant; seed; bud,whole plant phenotype trait; whole plant morphology trait; reproductive shoot system morphology trait,life history,core_trait,whole plant lifeform; shoot system meristem; life form
https://w3id.org/APD/traits/trait_0030012,life_history,whole plant,whole plant phenotype trait,life history,core_trait,death; longevity
https://w3id.org/APD/traits/trait_0030013,life_history_ephemeral_class,whole plant,fire response trait; life history trait,life history,NA,fire; environmental condition; seed germination; seedling establishment
https://w3id.org/APD/traits/trait_0030014,lifespan,whole plant,whole plant phenotype trait,life history,core_trait,death; longevity
https://w3id.org/APD/traits/trait_0030015,plant_growth_substrate,whole plant,life history trait,life history,core_trait,substrate; growth; aquatic; terrestrial; habitat; epiphyte; growth
https://w3id.org/APD/traits/trait_0030016,plant_photosynthetic_organ,leaf; whole plant; stem,photosynthetic trait; leaf morphology trait; stem morphology trait,leaf morphology,core_trait,plant organ; photosynthesis; cladode; phyllode; growth
https://w3id.org/APD/traits/trait_0030017,plant_alternative_energy_and_nutrient_acquisition_strategy,whole plant; leaf,whole plant phenotype trait,life history,NA,energy; carbohydrate; nutrient; growth
https://w3id.org/APD/traits/trait_0030018,woodiness,whole plant; stem,whole plant phenotype trait; stem morphology trait,life history,NA,"wood, secondary xylem; lignin; shoot axis woodiness; wood; herbaceous"
https://w3id.org/APD/traits/trait_0030019,woodiness_detailed,whole plant; stem; root; reproductive shoot system,whole plant phenotype trait; stem morphology trait,life history,core_trait,"wood, secondary xylem; lignin; shoot axis woodiness; wood; herbaceous"
https://w3id.org/APD/traits/trait_0030020,plant_physical_defence_structures,leaf; stem; bark; whole plant,plant structure morphology trait; leaf morphology trait; stem morphology trait; bark morphology trait,whole plant morphology,core_trait,spine leaf; spine stipule; thorn; prickle; defense; spine petiole
https://w3id.org/APD/traits/trait_0030021,plant_climbing_mechanism,whole plant; stem; leaf,whole plant phenotype trait; leaf morphology trait; stem morphology trait,life history,core_trait,climbing; appendage
https://w3id.org/APD/traits/trait_0030022,plant_succulence,whole plant; stem; leaf,whole plant phenotype trait; environmental tolerance trait; stem morphology trait; leaf morphology trait,life history,core_trait,tissue succulence; water; drought tolerance; salt tolerance; salinity; fleshy
https://w3id.org/APD/traits/trait_0030023,stem_growth_habit,whole plant; stem; leaf,whole plant phenotype trait; stem morphology trait,life history,core_trait,vegetative shoot system; branchiness; growth
https://w3id.org/APD/traits/trait_0030024,leaf_phenology,leaf; whole plant,plant phenological trait,life history,core_trait,shedability; environmental condition; evergreen; deciduous
https://w3id.org/APD/traits/trait_0030025,leaf_lifespan,leaf,plant phenological trait,life history,NA,shedability; longevity
https://w3id.org/APD/traits/trait_0030026,competitive_stratum,whole plant,whole plant phenotype trait,life history,NA,vegetation layer; community; competition; vegetation
