Entity,trait,structure_measured,trait_groupings,trait_group_for_portal,core_trait,keywords
https://w3id.org/APD/traits/trait_0011412,leaf_axil_angle,leaf,leaf position trait,leaf morphology,core_trait,leaf axil; leaf attitude; leaf lamina; leaf angle
https://w3id.org/APD/traits/trait_0011413,leaf_inclination_angle,leaf,leaf position trait,leaf morphology,core_trait,leaf lamina; solar zenith angle; leaf attitude
https://w3id.org/APD/traits/trait_0011414,leaf_pendulousness,leaf,leaf position trait,leaf morphology,NA,leaf angle; pendulous
https://w3id.org/APD/traits/trait_0011510,leaf_cuticle_thickness_abaxial,leaf,portion of plant tissue morphology trait,leaf morphology,NA,plant cuticle; abaxial; leaf lamina
https://w3id.org/APD/traits/trait_0011511,leaf_cuticle_thickness_adaxial,leaf,portion of plant tissue morphology trait,leaf morphology,NA,plant cuticle; adaxial; leaf lamina
https://w3id.org/APD/traits/trait_0011512,leaf_epidermis_thickness,leaf,portion of plant tissue morphology trait,leaf morphology,NA,tissue; epidermis; leaf lamina; abaxial; adaxial
https://w3id.org/APD/traits/trait_0011513,leaf_epidermis_thickness_abaxial,leaf,portion of plant tissue morphology trait,leaf morphology,NA,tissue; epidermis; abaxial; leaf lamina
https://w3id.org/APD/traits/trait_0011514,leaf_epidermis_thickness_adaxial,leaf,portion of plant tissue morphology trait,leaf morphology,NA,tissue; epidermis; adaxial; leaf lamina
https://w3id.org/APD/traits/trait_0011515,leaf_epidermal_cell_density_both_sides,leaf,plant cell morphology trait; leaf morphology trait,leaf morphology,NA,cell; epidermal cell; abaxial; adaxial; leaf lamina
https://w3id.org/APD/traits/trait_0011516,leaf_epidermal_cell_density_abaxial,leaf,plant cell morphology trait; leaf morphology trait,leaf morphology,NA,cell; epidermal cell; abaxial; leaf lamina
https://w3id.org/APD/traits/trait_0011517,leaf_epidermal_cell_density_adaxial,leaf,plant cell morphology trait; leaf morphology trait,leaf morphology,NA,cell; epidermal cell; adaxial; leaf lamina
https://w3id.org/APD/traits/trait_0011518,leaf_hypodermis_thickness_abaxial,leaf,portion of plant tissue morphology trait,leaf morphology,NA,tissue; hypodermis; abaxial; leaf lamina
https://w3id.org/APD/traits/trait_0011519,leaf_hypodermis_thickness_adaxial,leaf,portion of plant tissue morphology trait,leaf morphology,NA,tissue; hypodermis; adaxial; leaf lamina
https://w3id.org/APD/traits/trait_0011520,leaf_palisade_tissue_thickness_abaxial,leaf,portion of plant tissue morphology trait,leaf morphology,NA,tissue; palisade mesophyll; abaxial; leaf lamina
https://w3id.org/APD/traits/trait_0011521,leaf_palisade_tissue_thickness_adaxial,leaf,portion of plant tissue morphology trait,leaf morphology,NA,tissue; palisade mesophyll; adaxial; leaf lamina
https://w3id.org/APD/traits/trait_0011522,leaf_palisade_cell_length,leaf,plant cell morphology trait; leaf morphology trait,leaf morphology,NA,cell; palisade mesophyll cell; leaf lamina
https://w3id.org/APD/traits/trait_0011523,leaf_palisade_cell_width,leaf,plant cell morphology trait; leaf morphology trait,leaf morphology,NA,cell; palisade mesophyll cell; leaf lamina
https://w3id.org/APD/traits/trait_0011524,leaf_palisade_layer_number,leaf,portion of plant tissue morphology trait; leaf morphology trait,leaf morphology,NA,cell; palisade mesophyll cell; palisade mesophyll; leaf lamina; tissue
https://w3id.org/APD/traits/trait_0011525,leaf_spongy_mesophyll_thickness,leaf,portion of plant tissue morphology trait; leaf morphology trait,leaf morphology,NA,tissue; spongy mesophyll; leaf lamina
https://w3id.org/APD/traits/trait_0011526,cell_cross-sectional_area,whole plant,plant cell morphology trait,whole plant morphology,NA,cell; plant cell size; cross section
https://w3id.org/APD/traits/trait_0011610,leaf_stomatal_density_abaxial,leaf,leaf stomatal complex morphology trait,leaf morphology,core_trait,leaf stomatal complex frequency; stomata; stomatal pore; abaxial; leaf lamina
https://w3id.org/APD/traits/trait_0011611,leaf_stomatal_density_adaxial,leaf,leaf stomatal complex morphology trait,leaf morphology,core_trait,leaf stomatal complex frequency; stomata; stomatal pore; adaxial; leaf lamina
https://w3id.org/APD/traits/trait_0011612,leaf_stomatal_density_average,leaf,leaf stomatal complex morphology trait,leaf morphology,NA,leaf stomatal complex frequency; stomata; stomatal pore; abaxial; adaxial; leaf lamina
https://w3id.org/APD/traits/trait_0011613,leaf_stomatal_distribution,leaf,leaf stomatal complex morphology trait,leaf morphology,NA,leaf stomatal complex frequency; stomata; stomatal pore; abaxial; adaxial; leaf lamina
https://w3id.org/APD/traits/trait_0011614,leaf_stomatal_hairs,leaf,leaf stomatal complex morphology trait,leaf morphology,NA,leaf stomatal complex frequency; stomata; stomatal pore; hairy
https://w3id.org/APD/traits/trait_0011615,leaf_guard_cell_length,leaf,leaf stomatal complex morphology trait,leaf morphology,NA,cell; leaf stomatal complex frequency; guard cell; stomata; stomatal pore
https://w3id.org/APD/traits/trait_0011710,leaf_transmission,leaf,leaf optical properties trait,leaf morphology,NA,optics; visible light; transmission; photosynthetically active radiation
https://w3id.org/APD/traits/trait_0011711,leaf_absorption,leaf,leaf optical properties trait,leaf morphology,NA,optics; visible light; absorption; photosynthetically active radiation
https://w3id.org/APD/traits/trait_0011712,leaf_reflectance,leaf,leaf optical properties trait,leaf morphology,NA,optics; visible light; reflection; photosynthetically active radiation
https://w3id.org/APD/traits/trait_0011713,leaf_reflectance_near_infrared,leaf,leaf optical properties trait,leaf morphology,NA,infrared radiation; optics; reflection; radiation
https://w3id.org/APD/traits/trait_0011811,stem_cross_sectional_area,stem,stem morphology trait,stem morphology,NA,cross section
https://w3id.org/APD/traits/trait_0011812,sapwood_cross_sectional_area,stem,stem morphology trait,stem morphology,NA,"sapwood; cross section; wood, secondary xylem"
https://w3id.org/APD/traits/trait_0011813,branch_terminal_twig_cross_sectional_area,stem,stem morphology trait,stem morphology,NA,branch; cross section
https://w3id.org/APD/traits/trait_0011814,branch_terminal_twig_length,stem,stem morphology trait,stem morphology,NA,branch
https://w3id.org/APD/traits/trait_0011815,wood_density,stem,stem morphology trait,stem morphology,core_trait,"wood; wood, secondary xylem; biomass allocation"
https://w3id.org/APD/traits/trait_0011816,stem_density,stem,stem morphology trait,stem morphology,core_trait,herbaceous; biomass allocation
https://w3id.org/APD/traits/trait_0011911,huber_value,leaf; stem,stem morphology trait,stem morphology,core_trait,sapwood; biomass allocation
https://w3id.org/APD/traits/trait_0011912,leaf_mass_to_stem_mass_ratio,leaf; stem; whole plant,leaf mass trait; stem mass trait,leaf morphology,NA,biomass allocation; whole plant stem dry mass; whole plant leaf dry mass
https://w3id.org/APD/traits/trait_0011913,stem_mass_to_shoot_mass_ratio,leaf; stem; whole plant,leaf mass trait; stem mass trait,leaf morphology,NA,branch; vegetative shoot system; biomass allocation; whole plant stem dry mass; whole plant leaf dry mass
https://w3id.org/APD/traits/trait_0011914,branch_mass_fraction,stem; whole plant,stem mass trait,stem morphology,NA,branch; biomass allocation; whole plant dry mass
https://w3id.org/APD/traits/trait_0011915,stem_dry_matter_content,stem,stem mass trait,stem morphology,NA,branch; fresh mass; water
https://w3id.org/APD/traits/trait_0011916,stem_water_content_per_saturated_mass,stem,stem mass trait,stem morphology,NA,water; water holding capacity; turgor; fresh mass
https://w3id.org/APD/traits/trait_0011917,stem_mass_fraction,stem; whole plant,stem mass trait,stem morphology,core_trait,biomass allocation; whole plant stem dry mass; whole plant dry mass
https://w3id.org/APD/traits/trait_0012010,bark_morphology_eucalyptus,bark,bark morphology trait,bark morphology,NA,NA
https://w3id.org/APD/traits/trait_0012011,bark_thickness,bark,bark morphology trait,bark morphology,NA,NA
https://w3id.org/APD/traits/trait_0012012,bark_thickness_index,bark; stem,bark morphology trait,bark morphology,NA,biomass allocation
https://w3id.org/APD/traits/trait_0012013,bark_density,bark,bark morphology trait,bark morphology,NA,biomass allocation
https://w3id.org/APD/traits/trait_0012014,bark_dry_mass_per_surface_area,bark,bark morphology trait,bark morphology,NA,biomass allocation
https://w3id.org/APD/traits/trait_0012015,bark_water_content_per_dry_mass,bark,bark morphology trait,bark morphology,NA,water; bark water content
https://w3id.org/APD/traits/trait_0012016,bark_water_content_per_saturated_mass,bark,bark morphology trait,bark morphology,NA,water; water holding capacity; turgor; fresh mass
https://w3id.org/APD/traits/trait_0012111,root_diameter,root,root morphology trait,root morphology,NA,root morphology trait
https://w3id.org/APD/traits/trait_0012112,root_system_classification,root,root morphology trait,root morphology,NA,root system; root system depth; root branchiness; root texture
https://w3id.org/APD/traits/trait_0012113,root_fine_root_coarse_root_ratio,root,root morphology trait,root morphology,NA,fine root; root branchiness; coarse root
https://w3id.org/APD/traits/trait_0012114,root_distribution_coefficient,root,root morphology trait,root morphology,NA,root branchiness; root system depth; root system
https://w3id.org/APD/traits/trait_0012115,root_system_type,root,root morphology trait,root morphology,NA,root system; primary root; lateral root; root branchiness
https://w3id.org/APD/traits/trait_0012116,root_specific_root_length,root,root morphology trait,root morphology,NA,biomass allocation; root system; primary root; lateral root
https://w3id.org/APD/traits/trait_0012117,root_specific_taproot_length,root,root morphology trait,root morphology,NA,biomass allocation; root system; primary root
https://w3id.org/APD/traits/trait_0012118,root_specific_root_area,root,root morphology trait,root morphology,NA,biomass allocation; root system
https://w3id.org/APD/traits/trait_0012119,root_wood_density,root,root morphology trait,root morphology,NA,"biomass allocation; root system; wood, secondary xylem"
https://w3id.org/APD/traits/trait_0012120,root_shoot_ratio,root; whole plant; stem,root morphology trait; stem morphology trait,root morphology,NA,biomass allocation; root system
https://w3id.org/APD/traits/trait_0012121,root_dry_matter_content,root,root morphology trait,root morphology,NA,biomass allocation; root system; fresh mass
https://w3id.org/APD/traits/trait_0012122,root_mass_fraction,root; whole plant,root morphology trait,root morphology,NA,biomass allocation; whole plant dry mass; root system
https://w3id.org/APD/traits/trait_0012221,accessory_cost_fraction,reproductive shoot system; flower; fruit; seed,reproductive shoot system morphology trait,flower morphology,NA,biomass allocation; reproduction; accessory cost
https://w3id.org/APD/traits/trait_0012222,accessory_cost_mass,reproductive shoot system; flower; fruit; seed,reproductive shoot system morphology trait,flower morphology,NA,biomass allocation; reproduction; accessory cost
https://w3id.org/APD/traits/trait_0012301,bud_length,reproductive shoot system; bud,floral organ morphology trait,flower morphology,NA,NA
https://w3id.org/APD/traits/trait_0012302,bud_width,reproductive shoot system; bud,floral organ morphology trait,flower morphology,NA,NA
https://w3id.org/APD/traits/trait_0012351,buds_per_inflorescence,reproductive shoot system; bud; inflorescence,floral organ morphology trait,flower morphology,NA,NA
https://w3id.org/APD/traits/trait_0012410,flower_androecium_structural_merism,reproductive shoot system; flower,androecium morphology trait,flower morphology,NA,"reproduction; androecium; stamen; staminode; fascicle; merism; whorl, floral whorl"
https://w3id.org/APD/traits/trait_0012411,flower_androecium_structural_phyllotaxis,reproductive shoot system; flower,androecium morphology trait,flower morphology,NA,"reproduction; androecium; phyllotaxy; stamen; staminode; fascicle; whorl, floral whorl"
https://w3id.org/APD/traits/trait_0012412,flower_androecium_structural_whorls_count,reproductive shoot system; flower,androecium morphology trait,flower morphology,NA,"reproduction; androecium; stamen; staminode; fascicle; merism; whorl, floral whorl"
https://w3id.org/APD/traits/trait_0012413,flower_anther_attachment,reproductive shoot system; flower,androecium morphology trait,flower morphology,NA,reproduction; androecium; stamen; anther; pollen; connective; anther theca; filament
