taxon_name,id,url
Leiocarpa tomentosa,0aedaf76-a425-419f-9134-03f6ba38eeee,https://vicflora.rbg.vic.gov.au/flora/taxon/0aedaf76-a425-419f-9134-03f6ba38eeee
Leiocarpa websteri,0b29312f-6b30-47ba-8d8c-b9a405dce792,https://vicflora.rbg.vic.gov.au/flora/taxon/0b29312f-6b30-47ba-8d8c-b9a405dce792
Leionema bilobum,b876c33f-752f-421d-9d72-fc01bfe2c41b,https://vicflora.rbg.vic.gov.au/flora/taxon/b876c33f-752f-421d-9d72-fc01bfe2c41b
Leionema bilobum subsp. 1,24d03cdf-848a-4a9b-9382-cf257bb2cd3b,https://vicflora.rbg.vic.gov.au/flora/taxon/24d03cdf-848a-4a9b-9382-cf257bb2cd3b
Leionema bilobum subsp. 1 (Grampians),1f0686c7-40ac-4b24-8dbc-44f29961104f,https://vicflora.rbg.vic.gov.au/flora/taxon/1f0686c7-40ac-4b24-8dbc-44f29961104f
Leionema bilobum subsp. 2,1330eae8-90da-4666-b497-58716fb75d1b,https://vicflora.rbg.vic.gov.au/flora/taxon/1330eae8-90da-4666-b497-58716fb75d1b
Leionema bilobum subsp. 2 (Victoria Range),6398100c-3877-469a-8a52-817013477a1b,https://vicflora.rbg.vic.gov.au/flora/taxon/6398100c-3877-469a-8a52-817013477a1b
Leionema bilobum subsp. 3,fba6e953-e318-41c6-a234-01d95ed1537f,https://vicflora.rbg.vic.gov.au/flora/taxon/fba6e953-e318-41c6-a234-01d95ed1537f
Leionema bilobum subsp. 3 (West Gippsland),376ad2ac-9706-46f9-a150-2d8060df1434,https://vicflora.rbg.vic.gov.au/flora/taxon/376ad2ac-9706-46f9-a150-2d8060df1434
Leionema bilobum subsp. bilobum,74eb64a1-1b4c-4ba4-be8a-eb08049459b6,https://vicflora.rbg.vic.gov.au/flora/taxon/74eb64a1-1b4c-4ba4-be8a-eb08049459b6
Leionema bilobum subsp. serrulatum,a98922d8-735b-4940-b526-dbc20acf730f,https://vicflora.rbg.vic.gov.au/flora/taxon/a98922d8-735b-4940-b526-dbc20acf730f
Leionema bilobum subsp. thackerayense,5fadf478-ac3e-47cb-a258-9303b1c3cbcd,https://vicflora.rbg.vic.gov.au/flora/taxon/5fadf478-ac3e-47cb-a258-9303b1c3cbcd
Leionema lamprophyllum,3a42d850-9504-4467-83cc-219ebca6dd16,https://vicflora.rbg.vic.gov.au/flora/taxon/3a42d850-9504-4467-83cc-219ebca6dd16
Leionema lamprophyllum subsp. lamprophyllum,13252ccc-07de-4b53-b409-fc8e8d187c53,https://vicflora.rbg.vic.gov.au/flora/taxon/13252ccc-07de-4b53-b409-fc8e8d187c53
Leionema lamprophyllum subsp. obovatum,907dd8a8-c5e6-4447-9214-8f20211db8e7,https://vicflora.rbg.vic.gov.au/flora/taxon/907dd8a8-c5e6-4447-9214-8f20211db8e7
Leionema microphyllum,b6fcd63f-4a0e-4ba0-9b60-8a2042fdaade,https://vicflora.rbg.vic.gov.au/flora/taxon/b6fcd63f-4a0e-4ba0-9b60-8a2042fdaade
Leionema phylicifolium,c223c0d4-534f-4d88-b655-0a6972101146,https://vicflora.rbg.vic.gov.au/flora/taxon/c223c0d4-534f-4d88-b655-0a6972101146
