taxon_name,url,original_name,aligned_name,accepted_name,taxon_rank,taxonomic_status,aligned_reason
Ruellia tuberosa,http://eflora.nt.gov.au/factsheet?id=43,Ruellia tuberosa,Ruellia tuberosa,Ruellia tuberosa,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Staurogyne spatulata,http://eflora.nt.gov.au/factsheet?id=48,Staurogyne spatulata,Staurogyne spatulata,Staurogyne spatulata,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Staurogyne spatulata,http://eflora.nt.gov.au/factsheet?id=49,Staurogyne leptocaulis,Staurogyne leptocaulis,Staurogyne spatulata,species,accepted,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2026-01-08)
Thunbergia arnhemica,http://eflora.nt.gov.au/factsheet?id=51,Thunbergia arnhemica,Thunbergia arnhemica,Thunbergia arnhemica,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Adiantum aethiopicum,http://eflora.nt.gov.au/factsheet?id=54,Adiantum aethiopicum,Adiantum aethiopicum,Adiantum aethiopicum,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Adiantum capillus-veneris,http://eflora.nt.gov.au/factsheet?id=55,Adiantum capillus-veneris,Adiantum capillus-veneris,Adiantum capillus-veneris,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Adiantum hispidulum,http://eflora.nt.gov.au/factsheet?id=56,Adiantum hispidulum,Adiantum hispidulum,Adiantum hispidulum,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Adiantum philippense,http://eflora.nt.gov.au/factsheet?id=57,Adiantum philippense,Adiantum philippense,Adiantum philippense,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Agave attenuata,http://eflora.nt.gov.au/factsheet?id=61,Agave attenuata,Agave attenuata,Agave attenuata,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Cordyline cannifolia,http://eflora.nt.gov.au/factsheet?id=63,Cordyline cannifolia,Cordyline cannifolia,Cordyline cannifolia,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
