taxon_name,url,original_name,aligned_name,accepted_name,taxon_rank,taxonomic_status,aligned_reason
Goodenia glandulosa,http://eflora.nt.gov.au/factsheet?id=2637,Goodenia glandulosa,Goodenia glandulosa,Goodenia glandulosa,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Goodenia gloeophylla,http://eflora.nt.gov.au/factsheet?id=2638,Goodenia gloeophylla,Goodenia gloeophylla,Goodenia gloeophylla,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Goodenia goodeniacea,http://eflora.nt.gov.au/factsheet?id=2639,Goodenia goodeniacea,Goodenia goodeniacea,Goodenia goodeniacea,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Goodenia gracilis,http://eflora.nt.gov.au/factsheet?id=2640,Goodenia gracilis,Goodenia gracilis,Goodenia gracilis,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Goodenia grandiflora,http://eflora.nt.gov.au/factsheet?id=2641,Goodenia grandiflora,Goodenia grandiflora,Goodenia grandiflora,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Goodenia havilandii,http://eflora.nt.gov.au/factsheet?id=2642,Goodenia havilandii,Goodenia havilandii,Goodenia havilandii,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Goodenia heppleana,http://eflora.nt.gov.au/factsheet?id=2643,Goodenia heppleana,Goodenia heppleana,Goodenia heppleana,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Goodenia heterochila,http://eflora.nt.gov.au/factsheet?id=2644,Goodenia heterochila,Goodenia heterochila,Goodenia heterochila,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Goodenia hirsuta,http://eflora.nt.gov.au/factsheet?id=2645,Goodenia hirsuta,Goodenia hirsuta,Goodenia hirsuta,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Goodenia hispida,http://eflora.nt.gov.au/factsheet?id=2646,Goodenia hispida,Goodenia hispida,Goodenia hispida,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Goodenia holtzeana,http://eflora.nt.gov.au/factsheet?id=2647,Goodenia holtzeana,Goodenia holtzeana,Goodenia holtzeana,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Goodenia janamba,http://eflora.nt.gov.au/factsheet?id=2648,Goodenia janamba,Goodenia janamba,Goodenia janamba,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Goodenia kakadu,http://eflora.nt.gov.au/factsheet?id=2649,Goodenia kakadu,Goodenia kakadu,Goodenia kakadu,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Goodenia lamprosperma,http://eflora.nt.gov.au/factsheet?id=2650,Goodenia lamprosperma,Goodenia lamprosperma,Goodenia lamprosperma,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Goodenia larapinta,http://eflora.nt.gov.au/factsheet?id=2651,Goodenia larapinta,Goodenia larapinta,Goodenia larapinta,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Goodenia leiosperma,http://eflora.nt.gov.au/factsheet?id=2652,Goodenia leiosperma,Goodenia leiosperma,Goodenia leiosperma,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Goodenia lunata,http://eflora.nt.gov.au/factsheet?id=2653,Goodenia lunata,Goodenia lunata,Goodenia lunata,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Goodenia maideniana,http://eflora.nt.gov.au/factsheet?id=2654,Goodenia maideniana,Goodenia maideniana,Goodenia maideniana,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Goodenia malvina,http://eflora.nt.gov.au/factsheet?id=2655,Goodenia malvina,Goodenia malvina,Goodenia malvina,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Goodenia modesta,http://eflora.nt.gov.au/factsheet?id=2656,Goodenia modesta,Goodenia modesta,Goodenia modesta,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Goodenia mueckeana,http://eflora.nt.gov.au/factsheet?id=2657,Goodenia mueckeana,Goodenia mueckeana,Goodenia mueckeana,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Goodenia neglecta,http://eflora.nt.gov.au/factsheet?id=2658,Goodenia neglecta,Goodenia neglecta,Goodenia neglecta,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Goodenia nigrescens,http://eflora.nt.gov.au/factsheet?id=2659,Goodenia nigrescens,Goodenia nigrescens,Goodenia nigrescens,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Goodenia occidentalis,http://eflora.nt.gov.au/factsheet?id=2660,Goodenia occidentalis,Goodenia occidentalis,Goodenia occidentalis,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Goodenia odonnellii,http://eflora.nt.gov.au/factsheet?id=2661,Goodenia odonnellii,Goodenia odonnellii,Goodenia odonnellii,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Goodenia pilosa,http://eflora.nt.gov.au/factsheet?id=2663,Goodenia pilosa,Goodenia pilosa,Goodenia pilosa,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Goodenia porphyrea,http://eflora.nt.gov.au/factsheet?id=2664,Goodenia porphyrea,Goodenia porphyrea,Goodenia porphyrea,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Goodenia potamica,http://eflora.nt.gov.au/factsheet?id=2665,Goodenia potamica,Goodenia potamica,Goodenia potamica,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Goodenia pumilio,http://eflora.nt.gov.au/factsheet?id=2666,Goodenia pumilio,Goodenia pumilio,Goodenia pumilio,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Goodenia purpurascens,http://eflora.nt.gov.au/factsheet?id=2667,Goodenia purpurascens,Goodenia purpurascens,Goodenia purpurascens,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Goodenia purpurea,http://eflora.nt.gov.au/factsheet?id=2668,Goodenia purpurea,Goodenia purpurea,Goodenia purpurea,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Goodenia quadrifida,http://eflora.nt.gov.au/factsheet?id=2669,Goodenia quadrifida,Goodenia quadrifida,Goodenia quadrifida,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Goodenia ramelii,http://eflora.nt.gov.au/factsheet?id=2670,Goodenia ramelii,Goodenia ramelii,Goodenia ramelii,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Goodenia redacta,http://eflora.nt.gov.au/factsheet?id=2671,Goodenia redacta,Goodenia redacta,Goodenia redacta,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Goodenia rupestris,http://eflora.nt.gov.au/factsheet?id=2672,Goodenia rupestris,Goodenia rupestris,Goodenia rupestris,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Goodenia scaevolina,http://eflora.nt.gov.au/factsheet?id=2673,Goodenia scaevolina,Goodenia scaevolina,Goodenia scaevolina,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Goodenia sepalosa,http://eflora.nt.gov.au/factsheet?id=2675,Goodenia sepalosa,Goodenia sepalosa,Goodenia sepalosa,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Goodenia strangfordii,http://eflora.nt.gov.au/factsheet?id=2678,Goodenia strangfordii,Goodenia strangfordii,Goodenia strangfordii,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Goodenia symonii,http://eflora.nt.gov.au/factsheet?id=2679,Goodenia symonii,Goodenia symonii,Goodenia symonii,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Goodenia triodiophila,http://eflora.nt.gov.au/factsheet?id=2680,Goodenia triodiophila,Goodenia triodiophila,Goodenia triodiophila,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Goodenia vilmoriniae,http://eflora.nt.gov.au/factsheet?id=2681,Goodenia vilmoriniae,Goodenia vilmoriniae,Goodenia vilmoriniae,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Goodenia virgata,http://eflora.nt.gov.au/factsheet?id=2682,Goodenia virgata,Goodenia virgata,Goodenia virgata,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Goodenia viscidula,http://eflora.nt.gov.au/factsheet?id=2683,Goodenia viscidula,Goodenia viscidula,Goodenia viscidula,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Lechenaultia divaricata,http://eflora.nt.gov.au/factsheet?id=2685,Lechenaultia divaricata,Lechenaultia divaricata,Lechenaultia divaricata,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Lechenaultia filiformis,http://eflora.nt.gov.au/factsheet?id=2686,Lechenaultia filiformis,Lechenaultia filiformis,Lechenaultia filiformis,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Lechenaultia lutescens,http://eflora.nt.gov.au/factsheet?id=2687,Lechenaultia lutescens,Lechenaultia lutescens,Lechenaultia lutescens,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Lechenaultia ovata,http://eflora.nt.gov.au/factsheet?id=2688,Lechenaultia ovata,Lechenaultia ovata,Lechenaultia ovata,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Lechenaultia striata,http://eflora.nt.gov.au/factsheet?id=2689,Lechenaultia striata,Lechenaultia striata,Lechenaultia striata,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Scaevola amblyanthera,http://eflora.nt.gov.au/factsheet?id=2691,Scaevola amblyanthera,Scaevola amblyanthera,Scaevola amblyanthera,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Scaevola angulata,http://eflora.nt.gov.au/factsheet?id=2694,Scaevola angulata,Scaevola angulata,Scaevola angulata,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Scaevola basedowii,http://eflora.nt.gov.au/factsheet?id=2695,Scaevola basedowii,Scaevola basedowii,Scaevola basedowii,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Scaevola browniana,http://eflora.nt.gov.au/factsheet?id=2696,Scaevola browniana,Scaevola browniana,Scaevola browniana,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Goodenia collaris,http://eflora.nt.gov.au/factsheet?id=2699,Scaevola collaris,Scaevola collaris,Goodenia collaris,species,accepted,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2026-01-08)
Scaevola collina,http://eflora.nt.gov.au/factsheet?id=2700,Scaevola collina,Scaevola collina,Scaevola collina,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Scaevola depauperata,http://eflora.nt.gov.au/factsheet?id=2701,Scaevola depauperata,Scaevola depauperata,Scaevola depauperata,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Scaevola glabrata,http://eflora.nt.gov.au/factsheet?id=2702,Scaevola glabrata,Scaevola glabrata,Scaevola glabrata,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Scaevola graminea,http://eflora.nt.gov.au/factsheet?id=2703,Scaevola graminea,Scaevola graminea,Scaevola graminea,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Scaevola humilis,http://eflora.nt.gov.au/factsheet?id=2704,Scaevola humilis,Scaevola humilis,Scaevola humilis,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Scaevola laciniata,http://eflora.nt.gov.au/factsheet?id=2705,Scaevola laciniata,Scaevola laciniata,Scaevola laciniata,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Scaevola ovalifolia,http://eflora.nt.gov.au/factsheet?id=2706,Scaevola ovalifolia,Scaevola ovalifolia,Scaevola ovalifolia,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Scaevola parvibarbata,http://eflora.nt.gov.au/factsheet?id=2708,Scaevola parvibarbata,Scaevola parvibarbata,Scaevola parvibarbata,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Scaevola parvifolia,http://eflora.nt.gov.au/factsheet?id=2709,Scaevola parvifolia,Scaevola parvifolia,Scaevola parvifolia,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Scaevola revoluta,http://eflora.nt.gov.au/factsheet?id=2711,Scaevola revoluta,Scaevola revoluta,Scaevola revoluta,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Scaevola spinescens,http://eflora.nt.gov.au/factsheet?id=2714,Scaevola spinescens,Scaevola spinescens,Scaevola spinescens,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Scaevola taccada,http://eflora.nt.gov.au/factsheet?id=2715,Scaevola taccada,Scaevola taccada,Scaevola taccada,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Goodenia connata,http://eflora.nt.gov.au/factsheet?id=2717,Velleia connata,Velleia connata,Goodenia connata,species,accepted,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2026-01-08)
Goodenia glabrata,http://eflora.nt.gov.au/factsheet?id=2718,Velleia glabrata,Velleia glabrata,Goodenia glabrata,species,accepted,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2026-01-08)
Goodenia macrocalyx,http://eflora.nt.gov.au/factsheet?id=2719,Velleia macrocalyx,Velleia macrocalyx,Goodenia macrocalyx,species,accepted,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2026-01-08)
Goodenia panduriformis,http://eflora.nt.gov.au/factsheet?id=2720,Velleia panduriformis,Velleia panduriformis,Goodenia panduriformis,species,accepted,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2026-01-08)
Codonocarpus cotinifolius,http://eflora.nt.gov.au/factsheet?id=2723,Codonocarpus cotinifolius,Codonocarpus cotinifolius,Codonocarpus cotinifolius,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Gyrostemon ramulosus,http://eflora.nt.gov.au/factsheet?id=2725,Gyrostemon ramulosus,Gyrostemon ramulosus,Gyrostemon ramulosus,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Gyrostemon tepperi,http://eflora.nt.gov.au/factsheet?id=2726,Gyrostemon tepperi,Gyrostemon tepperi,Gyrostemon tepperi,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Haemodorum brevicaule,http://eflora.nt.gov.au/factsheet?id=2729,Haemodorum brevicaule,Haemodorum brevicaule,Haemodorum brevicaule,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Haemodorum coccineum,http://eflora.nt.gov.au/factsheet?id=2730,Haemodorum coccineum,Haemodorum coccineum,Haemodorum coccineum,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Haemodorum ensifolium,http://eflora.nt.gov.au/factsheet?id=2731,Haemodorum ensifolium,Haemodorum ensifolium,Haemodorum ensifolium,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Haemodorum parviflorum,http://eflora.nt.gov.au/factsheet?id=2732,Haemodorum parviflorum,Haemodorum parviflorum,Haemodorum parviflorum,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Glischrocaryon aureum,http://eflora.nt.gov.au/factsheet?id=2735,Glischrocaryon aureum,Glischrocaryon aureum,Glischrocaryon aureum,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Gonocarpus chinensis,http://eflora.nt.gov.au/factsheet?id=2738,Gonocarpus chinensis,Gonocarpus chinensis,Gonocarpus chinensis,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Gonocarpus eremophilus,http://eflora.nt.gov.au/factsheet?id=2740,Gonocarpus eremophilus,Gonocarpus eremophilus,Gonocarpus eremophilus,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Gonocarpus implexus,http://eflora.nt.gov.au/factsheet?id=2741,Gonocarpus implexus,Gonocarpus implexus,Gonocarpus implexus,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Gonocarpus leptothecus,http://eflora.nt.gov.au/factsheet?id=2742,Gonocarpus leptothecus,Gonocarpus leptothecus,Gonocarpus leptothecus,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Haloragis aspera,http://eflora.nt.gov.au/factsheet?id=2744,Haloragis aspera,Haloragis aspera,Haloragis aspera,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Haloragis glauca,http://eflora.nt.gov.au/factsheet?id=2745,Haloragis glauca,Haloragis glauca,Haloragis glauca,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Haloragis gossei,http://eflora.nt.gov.au/factsheet?id=2747,Haloragis gossei,Haloragis gossei,Haloragis gossei,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Haloragis odontocarpa,http://eflora.nt.gov.au/factsheet?id=2748,Haloragis odontocarpa,Haloragis odontocarpa,Haloragis odontocarpa,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Haloragis uncatipila,http://eflora.nt.gov.au/factsheet?id=2751,Haloragis uncatipila,Haloragis uncatipila,Haloragis uncatipila,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Myriophyllum callitrichoides,http://eflora.nt.gov.au/factsheet?id=2753,Myriophyllum callitrichoides,Myriophyllum callitrichoides,Myriophyllum callitrichoides,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Myriophyllum dicoccum,http://eflora.nt.gov.au/factsheet?id=2755,Myriophyllum dicoccum,Myriophyllum dicoccum,Myriophyllum dicoccum,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Myriophyllum filiforme,http://eflora.nt.gov.au/factsheet?id=2756,Myriophyllum filiforme,Myriophyllum filiforme,Myriophyllum filiforme,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Myriophyllum muricatum,http://eflora.nt.gov.au/factsheet?id=2757,Myriophyllum muricatum,Myriophyllum muricatum,Myriophyllum muricatum,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Myriophyllum trachycarpum,http://eflora.nt.gov.au/factsheet?id=2758,Myriophyllum trachycarpum,Myriophyllum trachycarpum,Myriophyllum trachycarpum,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Myriophyllum verrucosum,http://eflora.nt.gov.au/factsheet?id=2759,Myriophyllum verrucosum,Myriophyllum verrucosum,Myriophyllum verrucosum,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Hanguana malayana,http://eflora.nt.gov.au/factsheet?id=2762,Hanguana malayana,Hanguana malayana,Hanguana malayana,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Pellaea reynoldsii,http://eflora.nt.gov.au/factsheet?id=2765,Paraceterach reynoldsii,Paraceterach reynoldsii,Pellaea reynoldsii,species,accepted,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2026-01-08)
Pityrogramma calomelanos,http://eflora.nt.gov.au/factsheet?id=2767,Pityrogramma calomelanos,Pityrogramma calomelanos,Pityrogramma calomelanos,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Platyzoma microphyllum,http://eflora.nt.gov.au/factsheet?id=2769,Platyzoma microphyllum,Platyzoma microphyllum,Platyzoma microphyllum,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Taenitis blechnoides,http://eflora.nt.gov.au/factsheet?id=2771,Taenitis blechnoides,Taenitis blechnoides,Taenitis blechnoides,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Taenitis pinnata,http://eflora.nt.gov.au/factsheet?id=2772,Taenitis pinnata,Taenitis pinnata,Taenitis pinnata,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Gyrocarpus americanus,http://eflora.nt.gov.au/factsheet?id=2775,Gyrocarpus americanus,Gyrocarpus americanus,Gyrocarpus americanus,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Hernandia nymphaeifolia,http://eflora.nt.gov.au/factsheet?id=2777,Hernandia nymphaeifolia,Hernandia nymphaeifolia,Hernandia nymphaeifolia,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Salacia chinensis,http://eflora.nt.gov.au/factsheet?id=2780,Salacia chinensis,Salacia chinensis,Salacia chinensis,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Trithuria cookeana,http://eflora.nt.gov.au/factsheet?id=2783,Trithuria cookeana,Trithuria cookeana,Trithuria cookeana,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Trithuria lanterna,http://eflora.nt.gov.au/factsheet?id=2785,Trithuria lanterna,Trithuria lanterna,Trithuria lanterna,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Blyxa aubertii,http://eflora.nt.gov.au/factsheet?id=2788,Blyxa aubertii,Blyxa aubertii,Blyxa aubertii,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Blyxa octandra,http://eflora.nt.gov.au/factsheet?id=2792,Blyxa octandra,Blyxa octandra,Blyxa octandra,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Enhalus acoroides,http://eflora.nt.gov.au/factsheet?id=2794,Enhalus acoroides,Enhalus acoroides,Enhalus acoroides,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Halophila decipiens,http://eflora.nt.gov.au/factsheet?id=2796,Halophila decipiens,Halophila decipiens,Halophila decipiens,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Halophila ovalis,http://eflora.nt.gov.au/factsheet?id=2797,Halophila ovalis,Halophila ovalis,Halophila ovalis,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Halophila spinulosa,http://eflora.nt.gov.au/factsheet?id=2799,Halophila spinulosa,Halophila spinulosa,Halophila spinulosa,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Hydrilla verticillata,http://eflora.nt.gov.au/factsheet?id=2801,Hydrilla verticillata,Hydrilla verticillata,Hydrilla verticillata,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Vallisneria rubra,http://eflora.nt.gov.au/factsheet?id=2803,Vallisneria rubra,Vallisneria rubra,Vallisneria rubra,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Ottelia alismoides,http://eflora.nt.gov.au/factsheet?id=2805,Ottelia alismoides,Ottelia alismoides,Ottelia alismoides,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Ottelia ovalifolia,http://eflora.nt.gov.au/factsheet?id=2806,Ottelia ovalifolia,Ottelia ovalifolia,Ottelia ovalifolia,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Thalassia hemprichii,http://eflora.nt.gov.au/factsheet?id=2808,Thalassia hemprichii,Thalassia hemprichii,Thalassia hemprichii,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Vallisneria caulescens,http://eflora.nt.gov.au/factsheet?id=2810,Vallisneria caulescens,Vallisneria caulescens,Vallisneria caulescens,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Vallisneria nana,http://eflora.nt.gov.au/factsheet?id=2811,Vallisneria nana,Vallisneria nana,Vallisneria nana,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Hydrolea zeylanica,http://eflora.nt.gov.au/factsheet?id=2815,Hydrolea zeylanica,Hydrolea zeylanica,Hydrolea zeylanica,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Patersonia macrantha,http://eflora.nt.gov.au/factsheet?id=2821,Patersonia macrantha,Patersonia macrantha,Patersonia macrantha,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Isoetes coromandelina,http://eflora.nt.gov.au/factsheet?id=2825,Isoetes coromandelina,Isoetes coromandelina,Isoetes coromandelina,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Isoetes muelleri,http://eflora.nt.gov.au/factsheet?id=2826,Isoetes muelleri,Isoetes muelleri,Isoetes muelleri,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Juncus sp. MacDonnell Ranges (B.G.Thomson 3412),http://eflora.nt.gov.au/factsheet?id=2829,Juncus sp. MacDonnell Ranges,Juncus sp. MacDonnell Ranges (B.G.Thomson 3412),Juncus sp. MacDonnell Ranges (B.G.Thomson 3412),species,accepted,Exact match of the first three words of the taxon name to an APC-accepted canonical name (2026-01-08)
