source_primary_key,source_primary_citation
Dwyer_2017,"J. M. Dwyer and D. C. Laughlin. “Constraints on trait combinations explain climatic drivers of biodiversity: The importance of trait covariance in community assembly”.   _Ecology Letters_ 20.7 (2017), pp. 872-882.  doi:  [10.1111/ele.12781](https://doi.org/10.1111%2Fele.12781)."
Dwyer_2018,"J. M. Dwyer and R. Mason. “Plant community responses to thinning in densely regenerating Acacia harpophylla forest”.   _Restoration Ecology_ 26.1 (2018), pp. 97-105.  doi:  [10.1111/rec.12536](https://doi.org/10.1111%2Frec.12536)."
Eamus_1998,"D. Eamus and H. Prichard. “A cost-benefit analysis of leaves of four Australian savanna species”.   _Tree Physiology_ 18 (1998), pp. 537-545.  doi:  [10.1093/treephys/18.8-9.537](https://doi.org/10.1093%2Ftreephys%2F18.8-9.537)."
Eamus_1999,"D. Eamus, B. Myers, G. Duff, and D. Williams. “Seasonal changes in photosynthesis of eight savanna tree species”.   _Tree Physiology_ 19 (1999), pp. 665-671.  doi:  [10.1093/treephys/19.10.665](https://doi.org/10.1093%2Ftreephys%2F19.10.665)."
Eamus_2000,"D. Eamus, A. P. O'Grady, and L. Hutley. “Dry season conditions determine wet season water use in the wet-tropical savannas of northern Australia”.   _Tree Physiology_ 20.18 (2000), pp. 1219-1226.  doi:  [10.1093/treephys/20.18.1219](https://doi.org/10.1093%2Ftreephys%2F20.18.1219)."
Edwards_2000,"C. Edwards, J. Read, and G. D. Sanson. “Characterising sclerophylly: some mechanical properties of leaves from heath and forest”.   _Oecologia_ 123.2 (2000), pp. 158-167.  doi:  [10.1007/s004420051001](https://doi.org/10.1007%2Fs004420051001)."
Ellsworth_2015,"D. S. Ellsworth, K. Y. Crous, H. Lambers, and J. Cooke. “Phosphorus recycling in photorespiration maintains high photosynthetic capacity in woody species”.   _Plant, Cell & Environment_ 38.6 (2015), pp. 1142-1156.  doi:  [10.1111/pce.12468](https://doi.org/10.1111%2Fpce.12468)."
Enright_2014,"N. J. Enright, J. B. Fontaine, B. B. Lamont, B. P. Miller, and V. C. Westcott. “Resistance and resilience to changing climate and fire regime depend on plant functional traits”.   _Journal of Ecology_ 102 (2014), pp. 1572-1581.  doi:  [10.1111/1365-2745.12306](https://doi.org/10.1111%2F1365-2745.12306)."
EsperonRodriguez_2019,"M. Esperon-Rodriguez, S. A. Power, M. G. Tjoelker, and P. D. Rymer. “Unpublished data: Data from 'Which Plant Where Living Labs' research projects”. 2019."
EsperonRodriguez_2020,"M. Esperon-Rodriguez, P. D. Rymer, S. A. Power, A. Challis, R. M. Marchin, and M. G. Tjoelker. “Functional adaptations and trait plasticity of urban trees along a climatic gradient”.   _Urban Forestry & Urban Greening_ 54 (2020), p. art126771.  doi:  [10.1016/j.ufug.2020.126771](https://doi.org/10.1016%2Fj.ufug.2020.126771)."
Everingham_2020,"S. E. Everingham, C. A. Offord, M. E. B. Sabot, and A. T. Moles. “Time travelling seeds reveal that plant regeneration and growth traits are responding to climate change”.   _Ecology_ 102 (2020), p. e03272.  doi:  [10.1002/ecy.3272](https://doi.org/10.1002%2Fecy.3272)."
Falster_2003,"D. S. Falster and M. Westoby. “Leaf size and angle vary widely across species: what consequences for light interception?”.   _New Phytologist_ 158.3 (2003), pp. 509-525.  doi:  [10.1046/j.1469-8137.2003.00765.x](https://doi.org/10.1046%2Fj.1469-8137.2003.00765.x)."
Falster_2005_1,"D. S. Falster and M. Westoby. “Alternative height strategies among 45 dicot rain forest species from tropical Queensland, Australia”.   _Journal of Ecology_ 93 (2005), pp. 521-535.  doi:  [10.1111/j.0022-0477.2005.00992.x](https://doi.org/10.1111%2Fj.0022-0477.2005.00992.x)."
Falster_2005_2,"D. S. Falster and M. Westoby. “Tradeoffs between height growth rate, stem persistence and maximum height among plant species in a post-fire succession”.   _Oikos_ 111 (2005), pp. 57-66.  doi:  [10.1111/j.0030-1299.2005.13383.x](https://doi.org/10.1111%2Fj.0030-1299.2005.13383.x)."
Farrell_2012,"C. Farrell, R. E. Mitchell, C. Szota, J. P. Rayner, and N. S. G. Williams. “Green roofs for hot and dry climates: Interacting effects of plant water use, succulence and substrate”.   _Ecological Engineering_ 49 (2012), pp. 270-276.  doi:  [10.1016/j.ecoleng.2012.08.036](https://doi.org/10.1016%2Fj.ecoleng.2012.08.036)."
Farrell_2013,"C. Farrell, C. Szota, N. S. G. Williams, and S. K. Arndt. “High water users can be drought tolerant: using physiological traits for green roof plant selection”.   _Plant and Soil_ 372.1-2 (2013), pp. 177-193.  doi:  [10.1007/s11104-013-1725-x](https://doi.org/10.1007%2Fs11104-013-1725-x)."
Farrell_2017,"C. Farrell, C. Szota, and S. K. Arndt. “Does the turgor loss point characterize drought response in dryland plants?”.   _Plant, Cell & Environment_ 40.8 (2017), pp. 1500-1511.  doi:  [10.1111/pce.12948](https://doi.org/10.1111%2Fpce.12948)."
Firn_2019,"J. Firn, J. M. McGree, E. Harvey, H. Flores-Moreno, M. Schuetz, Y. M. Buckley, E. T. Borer, E. W. Seabloom, K. J. L. Pierre, A. M. MacDougall, S. M. Prober, C. J. Stevens, L. L. Sullivan, E. Porter, E. Ladouceur, C. Allen, K. H. Moromizato, J. W. Morgan, W. S. Harpole, Y. Hautier, N. Eisenhauer, J. P. Wright, P. B. Adler, C. A. Arnillas, J. D. Bakker, L. Biederman, A. A. D. Broadbent, C. S. Brown, M. N. Bugalho, M. C. Caldeira, E. E. Cleland, A. Ebeling, P. A. Fay, N. Hagenah, A. R. Kleinhesselink, R. Mitchell, J. L. Moore, C. Nogueira, P. L. Peri, C. Roscher, M. D. Smith, P. D. Wragg, and A. C. Risch. “Leaf nutrients, not specific leaf area, are consistent indicators of elevated nutrient inputs”.   _Nature Ecology & Evolution_ 3.3 (2019), pp. 400-406.  doi:  [10.1038/s41559-018-0790-1](https://doi.org/10.1038%2Fs41559-018-0790-1)."
Fonseca_2000,"C. R. Fonseca, J. M. Overton, B. Collins, and M. Westoby. “Shifts in trait-combinations along rainfall and phosphorus gradients”.   _Journal of Ecology_ 88 (2000), pp. 964-977.  doi:  [10.1046/j.1365-2745.2000.00506.x](https://doi.org/10.1046%2Fj.1365-2745.2000.00506.x)."
Forster_1992,"P. I. Forster. “A taxonomic revision of Alyxia (Apocynaceae) in Australia”.   _Australian Systematic Botany_ 5 (1992), pp. 547-580.  doi:  [10.1071/sb9920547](https://doi.org/10.1071%2Fsb9920547)."
Forster_1995,"P. I. Forster. “New names and combinations in Marsdenia (Asclepiadaceae: Marsdenieae) from Asia and Malesia (excluding Papusia)”.   _Australian Systematic Botany_ 8 (1995), pp. 691-701.  doi:  [10.1071/sb9950691](https://doi.org/10.1071%2Fsb9950691)."
French_2017,"B. J. French, L. D. Prior, G. J. Williamson, and D. M. J. S. Bowman. “Cause and effects of a megafire in sedge-heathland in the Tasmanian temperate wilderness”.   _Australian Journal of Botany_ 64.6 (2016), pp. 513-525.  doi:  [10.1071/bt16087](https://doi.org/10.1071%2Fbt16087)."
Funk_2016,"J. L. Funk, R. J. Standish, W. D. Stock, and F. Valladares. “Plant functional traits of dominant native and invasive species in mediterranean-climate ecosystems”.   _Ecology_ 97.1 (2016), pp. 75-83.  doi:  [10.1890/15-0974.1](https://doi.org/10.1890%2F15-0974.1)."
Gallagher_2011,"R. V. Gallagher, M. R. Leishman, J. T. Miller, C. Hui, D. M. Richardson, J. Suda, and P. Travnicek. “Invasiveness in introduced Australian acacias: The role of species traits and genome size”.   _Diversity and Distributions_ 17 (2011), pp. 884-897.  doi:  [10.1111/j.1472-4642.2011.00805.x](https://doi.org/10.1111%2Fj.1472-4642.2011.00805.x)."
Gallagher_2012,"R. V. Gallagher and M. R. Leishman. “A global analysis of trait variation and evolution in climbing plants”.   _Journal of Biogeography_ 39.10 (2012), pp. 1757-1771.  doi:  [10.1111/j.1365-2699.2012.02773.x](https://doi.org/10.1111%2Fj.1365-2699.2012.02773.x)."
Gallagher_2015,R. Gallagher and R. Lanfear. “Unpublished data: Trait campaign with the Royal Botanical Gardens & Macquarie University”. 2015.
Gallagher_2018,"R. Gallagher, A. Phillips, B. Laugier-Kitchener, C. Laws, D. Lanceman, D. M. Londono, E. McFarlane, J. Foster, K. Marais, L. Pollitt, L. Kovac, M. Lambert, S. Amini, T. Boreham, T. Pyne, H. McPherson, M. Rossetto, M. van der Merwe, I. Wright, and and Matthew Alfonzetti. “Unpublished data: Trait campaign with the Royal Botanical Gardens, Macquarie University”. 2018."
Gardiner_2019,"R. Gardiner, L. P. Shoo, and J. M. Dwyer. “Look to seedling heights, rather than functional traits, to explain survival during extreme heat stress in the early stages of subtropical rainforest restoration”.   _Journal of Applied Ecology_ 56.12 (2019), pp. 2687-2697.  doi:  [10.1111/1365-2664.13505](https://doi.org/10.1111%2F1365-2664.13505)."
Geange_2017,"S. R. Geange, V. F. Briceno, N. C. Aitken, J. A. Ramirez-Valiente, M. Holloway-Phillips, and A. B. Nicotra. “Phenotypic plasticity and water availability: responses of alpine herb species along an elevation gradient”.   _Climate Change Responses_ 4.1 (2017), pp. 1-12.  doi:  [10.1186/s40665-017-0033-8](https://doi.org/10.1186%2Fs40665-017-0033-8)."
Geange_2020,"S. R. Geange, M. Holloway-Phillips, V. F. Briceno, and A. B. Nicotra. “Aciphylla glacialis mortality, growth and frost resistance: a field warming experiment”.   _Australian Journal of Botany_ 67.8 (2020), pp. 599-609.  doi:  [10.1071/bt19034](https://doi.org/10.1071%2Fbt19034)."
Ghannoum_2010,"O. Ghannoum, N. G. Phillips, J. P. Conroy, R. A. Smith, R. D. Attard, R. Woodfield, B. A. Logan, J. D. Lewis, and D. T. Tissue. “Exposure to preindustrial, current and future atmospheric CO2 and temperature differentially affects growth and photosynthesis in Eucalyptus”.   _Global Change Biology_ 16.1 (2010), pp. 303-319.  doi:  [10.1111/j.1365-2486.2009.02003.x](https://doi.org/10.1111%2Fj.1365-2486.2009.02003.x)."
Goble_1981,"E. Goble-Garratt, D. Bell, and W. Loneragan. “Floristic and leaf structure patterns along a shallow elevational gradient”.   _Australian Journal of Botany_ 29 (1981), pp. 329-347.  doi:  [10.1071/bt9810329](https://doi.org/10.1071%2Fbt9810329)."
Gosper_2004,"C. R. Gosper. “Fruit characteristics of invasive bitou bush, Chrysanthemoides monilifera (Asteraceae), and a comparison with co-occurring native plant species”.   _Australian Journal of Botany_ 52.2 (2004), pp. 223-230.  doi:  [10.1071/bt03046](https://doi.org/10.1071%2Fbt03046)."
Gosper_2012,"C. R. Gosper, C. J. Yates, and S. M. Prober. “Changes in plant species and functional composition with time since fire in two mediterranean climate plant communities”.   _Journal of Vegetation Science_ 23.6 (2012), pp. 1071-1081.  doi:  [10.1111/j.1654-1103.2012.01434.x](https://doi.org/10.1111%2Fj.1654-1103.2012.01434.x)."
Gosper_2018,"C. R. Gosper, C. J. Yates, G. D. Cook, J. M. Harvey, A. C. Liedloff, W. L. McCaw, K. R. Thiele, and S. M. Prober. “A conceptual model of vegetation dynamics for the unique obligate-seeder eucalypt woodlands of south-western Australia”.   _Austral Ecology_ 43.6 (2018), pp. 681-695.  doi:  [10.1111/aec.12613](https://doi.org/10.1111%2Faec.12613)."
Gosper_2022,"C. R. Gosper, B. P. Miller, R. V. Gallagher, J. Kinloch, R. van Dongen, E. Adams, S. Barrett, A. Cochrane, S. Comer, L. McCaw, R. G. Miller, S. M. Prober, and C. J. Yates. “Mapping risk to plant populations from short fire intervals via relationships between maturation period and environmental productivity”.   _Plant Ecology_ (2022).  doi:  [10.1007/s11258-022-01229-6](https://doi.org/10.1007%2Fs11258-022-01229-6)."
GrassBase_2014,"W. Clayton, M. Vorontsova, and K. H. &. H. Williamson. _GrassBase - The online world grass flora_. 2006.  url:  [http://www.kew.org/data/grasses-db.html](http://www.kew.org/data/grasses-db.html)."
Gray_2019,"E. F. Gray, I. J. Wright, D. S. Falster, A. S. D. Eller, C. E. R. Lehmann, M. G. Bradford, and L. A. Cernusak. “Leaf:wood allometry and functional traits together explain substantial growth rate variation in rainforest trees”.   _AoB PLANTS_ 11.3 (2019), pp. 1-11.  doi:  [10.1093/aobpla/plz024](https://doi.org/10.1093%2Faobpla%2Fplz024)."
Grigg_2008,"A. M. Grigg, E. J. Veneklaas, and H. Lambers. “Water relations and mineral nutrition of closely related woody plant species on desert dunes and interdunes”.   _Australian Journal of Botany_ 56.1 (2008), pp. 27-43.  doi:  [10.1071/bt06205](https://doi.org/10.1071%2Fbt06205)."
Groom_1997,"P. K. Groom and B. B. Lamont. “Fruit-seed relations in Hakea: serotinous species invest more dry matter in predispersal seed protection”.   _Austral Ecology_ 22.3 (1997), pp. 352-355.  doi:  [10.1111/j.1442-9993.1997.tb00682.x](https://doi.org/10.1111%2Fj.1442-9993.1997.tb00682.x)."
Groom_2010,"P. K. Groom and B. B. Lamont. “Phosphorus accumulation in Proteaceae seeds: A synthesis”.   _Plant and Soil_ 334.1-2 (2010), pp. 61-72.  doi:  [10.1007/s11104-009-0135-6](https://doi.org/10.1007%2Fs11104-009-0135-6)."
Grootemaat_2015,"S. Grootemaat, I. J. Wright, P. M. Bodegom, J. H. C. Cornelissen, and W. K. Cornwell. “Burn or rot: leaf traits explain why flammability and decomposability are decoupled across species”.   _Functional Ecology_ 29.11 (2015), pp. 1486-1497.  doi:  [10.1111/1365-2435.12449](https://doi.org/10.1111%2F1365-2435.12449)."
Grootemaat_2017_1,"S. Grootemaat, I. J. Wright, P. M. van Bodegom, J. H. C. Cornelissen, and V. Shaw. “Bark traits, decomposition and flammability of Australian forest trees”.   _Australian Journal of Botany_ 65.4 (2017), p. 327.  doi:  [10.1071/bt16258](https://doi.org/10.1071%2Fbt16258)."
Grootemaat_2017_2,"S. Grootemaat, I. J. Wright, P. M. van Bodegom, and J. H. C. Cornelissen. “Scaling up flammability from individual leaves to fuel beds”.   _Oikos_ 126.10 (2017), pp. 1428-1438.  doi:  [10.1111/oik.03886](https://doi.org/10.1111%2Foik.03886)."
Gross_1993,"C. L. Gross. “The reproductive ecology of Canavalia rosea (Fabaceae) on Anak Krakatau, Indonesia”.   _Australian Journal of Botany_ 41 (1993), pp. 591-599.  doi:  [10.1071/bt9930591](https://doi.org/10.1071%2Fbt9930591)."
Gross_2005,"C. L. Gross. “A comparison of the sexual systems in the trees from the Australian tropics with other tropical biomes-more monoecy but why?”.   _American Journal of Botany_ 92.6 (2005), pp. 907-919.  doi:  [10.3732/ajb.92.6.907](https://doi.org/10.3732%2Fajb.92.6.907)."
Groves_1986,"R. Groves, P. Hocking, and A. Mcmahon. “Distribution of biomass, nitrogen, phosphorus and other nutrients in Banksia marginata and B. ornata shoots of different ages after fire.”.   _Australian Journal of Botany_ 34.6 (1986), pp. 709-725.  doi:  [10.1071/bt9860709](https://doi.org/10.1071%2Fbt9860709)."
Grubb_1996,"P. J. Grubb and D. J. Metcalfe. “Adaptation and inertia in the Australian tropical lowland rain-forest flora: Contradictory trends in intergeneric and intrageneric comparisons of seed size in relation to light demand”.   _Functional Ecology_ 10 (1996), pp. 512-520.  doi:  [10.2307/2389944](https://doi.org/10.2307%2F2389944)."
Grubb_2008,"P. J. Grubb, R. V. Jackson, I. M. Barberis, J. N. Bee, D. A. Coomes, N. J. Dominy, M. A. S. D. L. Fuente, P. W. Lucas, D. J. Metcalfe, J. Svenning, I. M. Turner, and O. Vargas. “Monocot leaves are eaten less than dicot leaves in tropical lowland rain forests: Correlations with toughness and leaf presentation”.   _Annals of Botany_ 101 (2008), pp. 1379-1389.  doi:  [10.1093/aob/mcn047](https://doi.org/10.1093%2Faob%2Fmcn047)."
Guilherme_Pereira_2018,"C. G. Pereira, P. L. Clode, R. S. Oliveira, and H. Lambers. “Eudicots from severely phosphorus-impoverished environments preferentially allocate phosphorus to their mesophyll”.   _New Phytologist_ 218.3 (2018), pp. 959-973.  doi:  [10.1111/nph.15043](https://doi.org/10.1111%2Fnph.15043)."
Guilherme_Pereira_2019,"C. G. Pereira, P. E. Hayes, O. S. O'Sullivan, L. K. Weerasinghe, P. L. Clode, O. K. Atkin, and H. Lambers. “Trait convergence in photosynthetic nutrient-use efficiency along a 2-million year dune chronosequence in a global biodiversity hotspot”.   _Journal of Ecology_ 107.4 (2019), pp. 2006-2023.  doi:  [10.1111/1365-2745.13158](https://doi.org/10.1111%2F1365-2745.13158)."
Hall_1981,"T. J. Hall. “The nitrogen and phosphorus concentrations of some pasture species in the Dichanthium-Eulalia Grasslands of North-West Queensland.”.   _The Rangeland Journal_ 3.1 (1981), pp. 67-73.  doi:  [10.1071/rj9810067](https://doi.org/10.1071%2Frj9810067)."
Hanley_2001,"M. E. Hanley and B. B. Lamont. “Herbivory, serotiny and seedling defence in Western Australian Proteaceae”.   _Oecologia_ 126.3 (2001), pp. 409-417. ISSN: 1432-1939.  doi:  [10.1007/s004420000538](https://doi.org/10.1007%2Fs004420000538)."
Hanley_2002,"M. E. Hanley and B. B. Lamont. “Relationships between physical and chemical attributes of congeneric seedlings: how important is seedling defence?”.   _Functional Ecology_ 16.2 (2002), pp. 216-222. ISSN: 1365-2435.  doi:  [10.1046/j.1365-2435.2002.00612.x](https://doi.org/10.1046%2Fj.1365-2435.2002.00612.x)."
Harrison_2009,"M. T. Harrison, E. J. Edwards, G. D. Farquhar, A. B. Nicotra, and J. R. Evans. “Nitrogen in cell walls of sclerophyllous leaves accounts for little of the variation in photosynthetic nitrogen-use efficiency”.   _Plant, Cell and Environment_ 32 (2009), pp. 259-270.  doi:  [10.1111/j.1365-3040.2008.01918.x](https://doi.org/10.1111%2Fj.1365-3040.2008.01918.x)."
Harvey_2017,"J. M. Harvey, A. J. M. Hopkins, M. A. Langley, C. R. Gosper, M. R. Williams, and C. J. Yates. “Long-term studies of post-fire reproduction in an Australian shrubland and woodland”.   _Australian Journal of Botany_ 65.4 (2017), p. 339.  doi:  [10.1071/bt17011](https://doi.org/10.1071%2Fbt17011)."
Hassiotou_2009,"F. Hassiotou, J. R. Evans, M. Ludwig, and E. J. Veneklaas. “Stomatal crypts may facilitate diffusion of CO2 to adaxial mesophyll cells in thick sclerophylls”.   _Plant, Cell and Environment_ 32 (2009), pp. 1596-1611.  doi:  [10.1111/j.1365-3040.2009.02024.x](https://doi.org/10.1111%2Fj.1365-3040.2009.02024.x)."
Hayes_2014,"P. Hayes, B. L. Turner, H. Lambers, and E. Laliberte. “Foliar nutrient concentrations and resorption efficiency in plants of contrasting nutrient-acquisition strategies along a 2-million-year dune chronosequence”.   _Journal of Ecology_ 102.2 (2013), pp. 396-410.  doi:  [10.1111/1365-2745.12196](https://doi.org/10.1111%2F1365-2745.12196)."
Hayes_2018,"P. E. Hayes, P. L. Clode, R. S. Oliveira, and H. Lambers. “Proteaceae from phosphorus-impoverished habitats preferentially allocate phosphorus to photosynthetic cells: An adaptation improving phosphorus-use efficiency”.   _Plant, Cell and Environment_ 41.3 (2018), pp. 605-619.  doi:  [10.1111/pce.13124](https://doi.org/10.1111%2Fpce.13124)."
He_2011,"T. He, B. B. Lamont, and K. S. Downes. “Banksia born to burn”.   _New Phytologist_ 191.1 (2011), pp. 184-196.  doi:  [10.1111/j.1469-8137.2011.03663.x](https://doi.org/10.1111%2Fj.1469-8137.2011.03663.x)."
Henery_2001,"M. L. Henery and M. Westoby. “Seed mass and seed nutrient content as predictors of seed output variation between species”.   _Oikos_ 92 (2001), pp. 479-490.  doi:  [10.1034/j.1600-0706.2001.920309.x](https://doi.org/10.1034%2Fj.1600-0706.2001.920309.x)."
Hocking_1982,"P. J. Hocking. “The nutrition of fruits of two proteaceous shrubs, Grevillea wilsonii and Hakea undulata, from south-western Australia”.   _Australian Journal of Botany_ 30.2 (1982), pp. 219-230.  doi:  [10.1071/bt9820219](https://doi.org/10.1071%2Fbt9820219)."
Hocking_1986,"P. J. Hocking. “Mineral nutrient composition of leaves and fruits of selected species of Grevillea from southwestern Australia, with special reference to Grevillea leucopteris Meissn”.   _Australian Journal of Botany_ 34.2 (1986), pp. 155-164.  doi:  [10.1071/bt9860155](https://doi.org/10.1071%2Fbt9860155)."
Huang_2015,"G. Huang, P. D. Rymer, H. Duan, R. A. Smith, and D. T. Tissue. “Elevated temperature is more effective than elevated CO2 in exposing genotypic variation in Telopea speciosissima growth plasticity: implications for woody plant populations under climate change”.   _Global Change Biology_ 21.10 (2015), pp. 3800-3813.  doi:  [10.1111/gcb.12990](https://doi.org/10.1111%2Fgcb.12990)."
Hughes_1992,"L. Hughes and B. Rice. “Unpublished data: Traits data for 643 species, Macquarie University”. 1992."
Hughes_2005,"K. Hughes. “Unpublished data: Wood and stem density data for Australian plant species, Macquarie University”. 2005."
Hutton_1994,"B. J. Hutton, K. W. Dixon, and K. Sivasithamparam. “Ericoid endophytes of Western Australian heaths (Epacridaceae)”.   _New Phytologist_ 127.3 (1994), pp. 557-566. ISSN: 1469-8137.  doi:  [10.1111/j.1469-8137.1994.tb03974.x](https://doi.org/10.1111%2Fj.1469-8137.1994.tb03974.x)."
Hyland_2003,"B. P. M. Hyland, T. Whiffin, D. Christophel, B. Gray, and R. W. Elick. _Australian tropical rain forest plants trees, shrubs and vines_. CSIRO Publishing, 2003. ISBN: 0643068724."
Ilic_2000,"J. Ilic, D. Boland, M. McDonald, D. G, and P. Blakemore. _Woody density phase 1 - State of knowledge. National Carbon Accounting System. Technical Report 18_. Tech. rep. Australian Greenhouse Office, Canberra, Australia, 2000."
Islam_1999_1,"M. Islam, D. W. Turner, and M. A. Adams. “Phosphorus availability and the growth, mineral composition and nutritive value of ephemeral forbs and associated perennials from the Pilbara, Western Australia”.   _Australian Journal of Experimental Agriculture_ 39 (1999), pp. 149-159.  doi:  [10.1071/EA98133](https://doi.org/10.1071%2FEA98133)."
Islam_1999_2,"M. Islam and M. Adams. “Mineral content and nutritive value of native grasses and the response to added phosphorus in a Pilbara rangeland”.   _Tropical Grasslands_ 33 (1999), pp. 193-200."
Jagdish_2020,"A. Jagdish. “Unpublished data: Germination photoperiod sensitivity of Australian Plants, University of New South Wales”. 2020."
Jin_2019,"D. Jin and D. Hochuli. “Unpublished data: Urbanisation increases arthropod abundance and herbivory on a native weed, University of Sydney”. 2019."
Jordan_2001,"G. J. Jordan. “An investigation of long-distance dispersal based on species native to both Tasmania and New Zealand”.   _Australian Journal of Botany_ 49.3 (2001), pp. 333-340.  doi:  [10.1071/bt00024](https://doi.org/10.1071%2Fbt00024)."
Jordan_2007,"G. J. Jordan. “Unpublished data: Leaf traits for Tasmanian species, University of Tasmania”. 2007."
Jordan_2015,"G. J. Jordan, R. J. Carpenter, A. Koutoulis, A. Price, and T. J. Brodribb. “Environmental adaptation in stomatal size independent of the effects of genome size”.   _New Phytologist_ 205.2 (2015), pp. 608-617.  doi:  [10.1111/nph.13076](https://doi.org/10.1111%2Fnph.13076)."
Jordan_2020,"G. J. Jordan, R. J. Carpenter, B. R. Holland, N. J. Beeton, M. D. Woodhams, and T. J. Brodribb. “Links between environment and stomatal size through evolutionary time in Proteaceae”.   _Proceedings of the Royal Society B: Biological Sciences_ 287.1919 (2020), p. 20192876.  doi:  [10.1098/rspb.2019.2876](https://doi.org/10.1098%2Frspb.2019.2876)."
Jurado_1991,"E. Jurado. “Diaspore weight, dispersal, growth form and perenniality of central Australian plants”.   _Journal of Ecology_ 79 (1991), pp. 811-828."
Jurado_1992,"E. Jurado and M. Westoby. “Germination biology of selected central Australian plants”.   _Austral Ecology_ 17.3 (1992), pp. 341-348.  doi:  [10.1111/j.1442-9993.1992.tb00816.x](https://doi.org/10.1111%2Fj.1442-9993.1992.tb00816.x)."
Kanowski_2000,"J. Kanowski. “Ecological determinants of the distribution and abundance of the folivorous marsupials endemic to the rainforests of the Atherton uplands, north Queensland.”. PhD. James Cook University, Townsville, 1999."
Keighery_2004,"G. Keighery. “Taxonomy of the Calytrix ecalycata complex (Myrtaceae)”.   _Nuytsia_ 15 (2004), pp. 261-268."
Kew_2019_1,Royal Botanic Gardens Kew. _Seed Information Database (SID) and Seed Bank Database_. 2019.  url:  [http://data.kew.org/sid/](http://data.kew.org/sid/).
Kew_2019_2,Royal Botanic Gardens Kew. _Seed Information Database (SID) and Seed Bank Database_. 2019.  url:  [http://data.kew.org/sid/](http://data.kew.org/sid/).
Kew_2019_3,Royal Botanic Gardens Kew. _Salt and water tolerance data from the Seed Information Database (SID) and Seed Bank Database_. 2019.  url:  [http://data.kew.org/sid/](http://data.kew.org/sid/).
Kew_2019_4,Royal Botanic Gardens Kew. _Oil content data from Seed Information Database (SID) and Seed Bank Database_. 2019.  url:  [http://data.kew.org/sid/](http://data.kew.org/sid/).
Kew_2019_5,Royal Botanic Gardens Kew. _Seed dispersal data from the Seed Information Database (SID) and Seed Bank Database_. 2019.  url:  [http://data.kew.org/sid/](http://data.kew.org/sid/).
Kew_2019_6,Royal Botanic Gardens Kew. _Germination data from the Seed Information Database (SID) and Seed Bank Database_. 2019.  url:  [http://data.kew.org/sid/](http://data.kew.org/sid/).
Kirkpatrick_2020,"J. Kirkpatrick. “Unpublished data: Fire response traits for woody Tasmanian endemic species, University of Tasmania”. 2020."
Knox_2011,"K. J. E. Knox and P. J. Clarke. “Fire severity and nutrient availability do not constrain resprouting in forest shrubs”.   _Plant Ecology_ 212 (2011), pp. 1967-1978.  doi:  [10.1007/s11258-011-9956-5](https://doi.org/10.1007%2Fs11258-011-9956-5)."
Kocacinar_2003,"F. Kocacinar and R. F. Sage. “Photosynthetic pathway alters xylem structure and hydraulic function in herbaceous plants”.   _Plant, Cell & Environment_ 26.12 (2003), pp. 2015-2026.  doi:  [10.1111/j.1365-2478.2003.01119.x](https://doi.org/10.1111%2Fj.1365-2478.2003.01119.x)."
Kooyman_2011,"R. Kooyman, M. Rossetto, W. Cornwell, and M. Westoby. “Phylogenetic tests of community assembly across regional to continental scales in tropical and subtropical rain forests”.   _Global Ecology and Biogeography_ 20 (2011), pp. 707-716.  doi:  [10.1111/j.1466-8238.2010.00641.x](https://doi.org/10.1111%2Fj.1466-8238.2010.00641.x)."
Kotowska_2020,"M. M. Kotowska, I. J. Wright, and M. Westoby. “Parenchyma abundance in wood of evergreen trees varies independently of nutrients”.   _Frontiers in Plant Science_ 11 (2020), p. art86.  doi:  [10.3389/fpls.2020.00086](https://doi.org/10.3389%2Ffpls.2020.00086)."
Kubiak_2009,"P. J. Kubiak. “Fire responses of bushland plants after the January 1994 wildfires in northern Sydney”.   _Cunninghamia_ 11.1 (2009), pp. 131-165."
Kuo_1982,"J. Kuo, P. Hocking, and J. Pate. “Nutrient reserves in seeds of selected Proteaceous species from South-western Australia”.   _Australian Journal of Botany_ 30.1 (1982), pp. 231 - 249.  doi:  [10.1071/bt9820231](https://doi.org/10.1071%2Fbt9820231)."
Laliberte_2012,"E. Laliberte, B. L. Turner, T. Costes, S. J. Pearse, K. Wyrwoll, G. Zemunik, and H. Lambers. “Experimental assessment of nutrient limitation along a 2-million-year dune chronosequence in the south-western Australia biodiversity hotspot”.   _Journal of Ecology_ 100 (2012), pp. 631-642.  doi:  [10.1111/j.1365-2745.2012.01962.x](https://doi.org/10.1111%2Fj.1365-2745.2012.01962.x)."
Lamont_2002,"B. B. Lamont, P. K. Groom, and R. M. Cowling. “High leaf mass per area of related species assemblages may reflect low rainfall and carbon isotope discrimination rather than low phosphorus and nitrogen concentrations”.   _Functional Ecology_ 16 (2002), pp. 403-412.  doi:  [10.1046/j.1365-2435.2002.00631.x](https://doi.org/10.1046%2Fj.1365-2435.2002.00631.x)."
Lawes_2012,"M. J. Lawes, J. J. Midgley, and P. J. Clarke. “Costs and benefits of relative bark thickness in relation to fire damage: A savanna/forest contrast”.   _Journal of Ecology_ 101 (2012), pp. 517-524.  doi:  [10.1111/1365-2745.12035](https://doi.org/10.1111%2F1365-2745.12035)."
